provnum	network	facname	phyaddr1	phyaddr2	phycity	phystate	phyzip	phonenum	shift	chainyn	chainnam	owntype	certdate	totstas	HD	PD	homehd	PURR_F	urrg65_f	URRG65_C	urrg65_u	urrg65_s	hgbrd_f	Hgbl10_f	Hgbl10_c	Hgbg12_f	Hgbg12_c	hgbl10_u	hgbl10_s	hgbg12_u	hgbg12_s	dateurhg	PTSURV_F	PTSURV_C	ptsurvu1	ptsurvu2	ptsurvu3	ptsurvs1	ptsurvs2	ptsurvs3	DATESMR	CNTYNAME
122523	17	FMC OF KO'OLAU	47-388 HUI IWA STREET		KANEOHE	HI	96744	8082393400	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	03APR2009	24	Y	Y	N		97	001	97	98		4	001	11	001	3	2	11	6	2010	2	001	437	4174	552	5	16	0	2007-2010	HONOLULU
122524	17	LIBERTY DIALYSIS HAWAII KAILUA DIALYSIS FACILITY	25 KANEOHE BAY DRIVE		KAILUA	HI	96734	8082541030	Y	Y	REGIONAL-LIBERTY DIALYSIS HAWAII	1	08JUL2011	12	Y	N	N			258	97	98			258		258	3	2	11	6	2010		258	437	4174	552	5	16	0	2007-2010	HONOLULU
131316	16	BEAR LAKE  DIALYSIS CENTER	164 S FIFTH ST		MONTPELIER	ID	83254	2088474325	N	N	INDEPENDENT	2	20JUN2006	7	Y	N	N		100	001	97	98		8	001	33	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BEAR LAKE
132500	16	GEM STATE REGIONAL DIALYSIS CENTER	2225 TETON PLAZA   SUITE A		IDAHO FALLS	ID	83404	2085224831	N	Y	REGIONAL-UNIV OF UTAH DIAL PRG	2	31JUL1986	22	Y	Y	Y		97	001	97	98		0	001	17	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BONNEVILLE
132501	16	NAMPA DIALYSIS CENTER	846 PARKCENTRE WAY		NAMPA	ID	83651	2084675180	Y	Y	DAVITA	1	13OCT1989	15	Y	Y	Y		100	001	97	98		0	001	8	001	3	3	11	11	2010	3	001	437	4174	552	2	16	2	2007-2010	CANYON
132502	16	TABLE ROCK DIALYSIS CENTER	5610 W GAGE ST, SUITE B		BOISE	ID	83706	2086588111	Y	Y	DAVITA	1	01OCT1995	25	Y	Y	Y		99	001	97	98		2	001	19	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	ADA
132503	16	BURLEY DIALYSIS CENTER	741 N OVERLAND AVE		BURLEY	ID	83318	2086775483	N	Y	DAVITA	1	18DEC1997	12	Y	Y	Y		100	001	97	98		3	001	9	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	CASSIA
132505	16	TWIN FALLS DIALYSIS CENTER	1840 CANYON CREST DR		TWIN FALLS	ID	83301	2087370001	N	Y	DAVITA	1	06OCT1999	15	Y	Y	Y		98	001	97	98		3	001	21	001	3	3	11	11	2010	3	001	437	4174	552	2	16	2	2007-2010	TWIN FALLS
132506	16	GATE CITY DIALYSIS CENTER	2001 BENCH RD		POCATELLO	ID	83201	2086371090	N	Y	DAVITA	1	09NOV1999	18	Y	Y	Y		86	001	97	98		3	001	19	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BANNOCK
132507	16	FMC NORTH IDAHO  DIALYSIS FACILITY	KOOTENAI MEDICAL CENTER	2100 IRONWOOD COURT SUITE A	COEUR D'ALENE	ID	83814	2086643064	Y	Y	RENAL CARE GROUP INC.	1	01NOV2000	12	Y	N	N		98	001	97	98		2	001	10	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	KOOTENAI
132508	16	FMC POST FALLS DIALYSIS UNIT	1300 E MULLAN SUITE 1200		POST FALLS	ID	83854	2087776054	N	Y	RENAL CARE GROUP INC.	1	21SEP2004	12	Y	Y	N		100	001	97	98		0	001	5	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	KOOTENAI
132509	16	TRI-STATE DIALYSIS CENTER	730 21ST STREET		LEWISTON	ID	83501	2087468280	N	N	INDEPENDENT	2	07DEC2004	13	Y	Y	Y		100	001	97	98		0	001	15	001	3	3	11	11	2010	1	001	437	4174	552	2	16	2	2007-2010	NEZ PERCE
132510	16	YELLOWSTONE DIALYSIS CENTER	1165 SUMMERS AVE		REXBURG	ID	83440	2086560396	N	Y	REGIONAL-UNIV OF UTAH DIAL PRG	2	04OCT2005	9	Y	N	N		92	001	97	98			199		199	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	MADISON
132511	16	IDAHO KIDNEY CENTER - POCATELLO	444 HOSPITAL WAY #600		POCATELLO	ID	83201	2084785600	Y	N	INDEPENDENT	1	05OCT2005	20	Y	Y	Y		100	001	97	98		4	001	0	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BANNOCK
132512	16	LIBERTY DIALYSIS - MERIDIAN	3525 E LOUISE DR SUITE 100		MERIDIAN	ID	83642	2088468335	N	N	INDEPENDENT	1	14OCT2005	15	Y	Y	Y		100	001	97	98		2	001	2	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	ADA
132513	16	TREASURE VALLEY DIALYSIS CENTER	3525 EAST LOUISE DR STE 155		MERIDIAN	ID	83642	2086393000	N	Y	DAVITA	1	16AUG2006	9	Y	Y	N		100	001	97	98		0	001	12	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	ADA
132514	16	LIBERTY DIALYSIS - IDAHO FALLS	2381 E SUNNYSIDE ROAD		IDAHO FALLS	ID	83404	2085238500	N	N	INDEPENDENT	1	14NOV2006	20	Y	Y	Y		100	001	97	98		20	001	0	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BONNEVILLE
132515	16	IDAHO KIDNEY CENTER - BLACKFOOT	98 POPLAR		BLACKFOOT	ID	83221	2087822220	N	N	INDEPENDENT	1	20NOV2006	6	Y	N	N		100	001	97	98		0	001	0	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BINGHAM
132516	16	LIBERTY DIALYSIS - NAMPA	280 W GEORGIA AVE		NAMPA	ID	83686	2084638558	N	N	INDEPENDENT	1	12JUN2007	12	Y	N	N		100	001	97	98		5	001	0	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	CANYON
132517	16	FMC IDAHO PANHANDLE DIALYSIS	204 N TRIANGLE DR		PONDERAY	ID	83852	2082554963	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25FEB2009	13	Y	Y	Y		100	001	97	98		0	001	5	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	BONNER
132518	16	CALDWELL DIALYSIS CENTER	821 S SMEED PKWY		CALDWELL	ID	83605	2084548260	N	Y	DAVITA	1	24JUN2009	12	Y	Y	Y		100	001	97	98		11	001	7	001	3	3	11	11	2010	1	001	437	4174	552	2	16	2	2007-2010	CANYON
132519	16	LIBERTY DIALYSIS - HAYDEN	8556 WAYNE DR		HAYDEN	ID	83835	2087627724	N	N	INDEPENDENT	1	03AUG2009	16	Y	Y	Y		96	001	97	98		3	001	3	001	3	3	11	11	2010	2	001	437	4174	552	2	16	2	2007-2010	KOOTENAI
132520	16	FMC PALOUSE	723 MAIN ST		MOSCOW	ID	83843	2088821817	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	22OCT2009	10	Y	Y	Y			199	97	98			199		199	3	3	11	11	2010		199	437	4174	552	2	16	2	2007-2010	LATAH
132521	16	MOSCOW DIALYSIS CENTER	212 RODEO DR STE 110		MOSCOW	ID	83843	2088825925	N	Y	DAVITA	1	06NOV2009	8	Y	Y	Y			199	97	98			199		199	3	3	11	11	2010		199	437	4174	552	2	16	2	2007-2010	LATAH
132522	16	LIBERTY DIALYSIS - SANDPOINT	1210 WASHINGTON AVE		SANDPOINT	ID	83864	2082634488	N	N	INDEPENDENT	1	23APR2010	13	Y	Y	Y			199	97	98			199		199	3	3	11	11	2010		199	437	4174	552	2	16	2	2007-2010	BONNER
132523	16	LIBERTY DIALYSIS - CALDWELL	4620 ENTERPRISE WAY STE 101		CALDWELL	ID	83605	2084541101	N	N	INDEPENDENT	1	23JUN2011	13	Y	Y	Y			258	97	98			258		258	3	3	11	11	2010		258	437	4174	552	2	16	2	2007-2010	CANYON
132524	16	SNAKE RIVER DIALYSIS CENTER	1491 PARKWAY DR		BLACKFOOT	ID	83221	2087851720	N	Y	DAVITA	1	14JUL2011	14	Y	N	N			258	97	98			258		258	3	3	11	11	2010		258	437	4174	552	2	16	2	2007-2010	BINGHAM
132525	16	FMC HAYDEN LAKE	7600 MINERAL DR STE 850		COEUR D'ALENE	ID	83815	2087624411	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	29JUL2011	12	Y	Y	Y			258	97	98			258		258	3	3	11	11	2010		258	437	4174	552	2	16	2	2007-2010	KOOTENAI
140010	10	NORTHSHORE UNIVERSITY HEALTHSYSTEM	2650 RIDGE AVE.  ROOM 3215		EVANSTON	IL	60201	8474802636	N	N	INDEPENDENT	2	05NOV1988	5	Y	N	N			201	97	96			201		201	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
140018	10	MT SINAI HOSP MED CTR RENAL UNIT	1500 S. CALIFORNIA AVE.		CHICAGO	IL	60608	7732576686	Y	N	INDEPENDENT	2	25OCT1966	11	Y	N	N		100	001	97	96		5	001	16	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
140108	10	HIGHLAND PARK HOSPITAL DIALYSIS	777 PARK AVE WEST		HIGHLAND PARK	IL	60035	8474803700	Y	N	INDEPENDENT	2	31DEC2006	20	Y	Y	Y		94	001	97	96		2	001	7	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	LAKE
140117	10	RESURRECTION MEDICAL CENTER	7435 W TALCOTT AVE - OUTPATIENT DIALYSIS		CHICAGO	IL	60631	7739907620	N	N	INDEPENDENT	2	13JUL1992	14	Y	N	Y		89	001	97	96		7	001	22	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
140119	10	RUSH-UNIVERSITY-ST LUKES MED CTR	1750 W HARRISON  PEDS UNIT	STE 735 KELLOGG	CHICAGO	IL	60612	3129423695	N	N	INDEPENDENT	2	01JAN1980	5	Y	Y	N			199	97	96			201		201	3	4	11	10	2010		199	437	4174	552	32	154	19	2007-2010	COOK
140124	10	JOHN H. STROGER JR.HOSPITAL OF COOK COUNTY	DEPARTMENT OF NURSING	1901 W HARRISON   CLINIC J	CHICAGO	IL	60612	3128644600	N	N	INDEPENDENT	2	01SEP1977	6	Y	Y	N			201	97	96			201		201	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
140148	10	MEMORIAL MEDICAL CENTER	701 NORTH FIRST STREET		SPRINGFIELD	IL	62781	2177883840	N	N	INDEPENDENT	2	01JAN1980	11	Y	N	N			199	97	96			199		199	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	SANGAMON
140150	10	UNIVERSITY OF ILLINOIS HOSPITAL - DIALYSIS	1859 W TAYLOR , UIMCC MC 794, ROOM 1003		CHICAGO	IL	60612	3129968428	N	N	INDEPENDENT	1	01JAN1968	26	Y	Y	Y		98	001	97	96		11	001	15	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
140155	10	PROVENA ST MARYS HOSPITAL-DIALYSIS CTR	455 W COURT STREET SUITE 100		KANKAKEE	IL	60901	8159372470	N	N	INDEPENDENT	2	25OCT1996	24	Y	Y	Y		99	001	97	96		10	001	0	001	3	4	11	10	2010	3	001	437	4174	552	32	154	19	2007-2010	KANKAKEE
140213	10	SILVER CROSS HOSPITAL	1200 MAPLE ROAD		JOLIET	IL	60432	8157407144	N	N	INDEPENDENT	2	01MAY1973	14	Y	N	N		91	001	97	96		3	001	19	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	WILL
140276	10	FOSTER MCGAW HOSPITAL OF LOYOLA	1201 W. ROOSEVELT RD.		MAYWOOD	IL	60153	7085317050	N	N	INDEPENDENT	2	02JUL1969	31	Y	Y	N		97	001	97	96		13	001	5	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142501	10	FMC - NEOMEDICA - NORTH KILPATRICK	4800 NORTH KILPATRICK		CHICAGO	IL	60630	7735453693	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JUL1973	20	Y	N	N		97	001	97	96		1	001	1	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142502	10	FMC - NEOMEDICA - LOOP	557 W. POLK STREET  STE 203		CHICAGO	IL	60607	3128340653	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JUL1973	24	Y	Y	Y		92	001	97	96		13	001	3	001	3	4	11	10	2010	3	001	437	4174	552	32	154	19	2007-2010	COOK
142503	10	FMC - DOWNERS GROVE DIALYSIS CENTER	3825 HIGHLAND SUITE 102		DOWNERS GROVE	IL	60515	6309642605	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN2000	19	Y	N	N		96	001	97	96		5	001	7	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	DU PAGE
142504	10	FMC - OAK PARK DIALYSIS UNIT	733 WEST MADISON STREET		OAK PARK	IL	60302	7083868757	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1980	32	Y	Y	Y		95	001	97	96		3	001	2	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142505	10	DSI -  LOOP RENAL CENTER	1101 SOUTH CANAL		CHICAGO	IL	60607	3123412543	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	01JAN1980	28	Y	Y	Y		100	001	97	96		2	001	18	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142506	10	FMC - CHICAGO DIALYSIS CENTER	820 W JACKSON STREET, STE 150		CHICAGO	IL	60607	3129309365	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1977	33	Y	N	N		83	001	97	96		10	001	0	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142507	10	FMC - ELK GROVE DIALYSIS CTR	901 BIESTERFIELD ROAD  STE 400		ELK GROVE VILLAGE	IL	60007	8474370824	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1977	28	Y	N	N		98	001	97	96		2	001	12	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142508	10	FMC - SOUTHSIDE DIALYSIS CENTER	3134 WEST 76TH STREET		CHICAGO	IL	60652	7734710400	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1990	39	Y	N	N		88	001	97	96		7	001	9	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142509	10	FMC - OF DUPAGE WEST	450 E ROOSEVELT RD		WEST CHICAGO	IL	60185	6302936356	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JUL1995	16	Y	Y	N		98	001	97	96		0	001	6	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	DU PAGE
142511	10	DSI - EVANSTON RENAL CENTER	1715 CENTRAL STREET		EVANSTON	IL	60201	8474911214	Y	Y	NATIONAL RENAL INSTITUTES (NRI)	1	01JAN1981	18	Y	N	N		93	001	97	96		0	001	19	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142514	10	FMC - CARBONDALE	725 S LEWIS LANE		CARBONDALE	IL	62901	6185292112	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01MAR1976	22	Y	Y	Y		99	001	97	96		3	001	10	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	JACKSON
142515	10	FMC - AURORA DIALYSIS CENTER	455 MERCY LANE		AURORA	IL	60506	6308927445	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JUL1996	14	Y	Y	N		96	001	97	96		0	001	13	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	KANE
142516	10	FMC - JACKSON PARK DIALYSIS CENTER	7531 SOUTH STONY ISLAND		CHICAGO	IL	60649	7739477510	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1977	24	Y	N	Y		85	001	97	96		4	001	5	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142517	10	FMC - SOUTH SUBURBAN	2609 W LINCOLN HWY		OLYMPIA FIELDS	IL	60461	7087470050	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1978	27	Y	Y	N		94	001	97	96		4	001	4	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142518	10	DSI - SCOTTSDALE	4651 W. 79TH STREET		CHICAGO	IL	60652	7735828911	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	01JUN1978	32	Y	Y	Y		95	001	97	96		1	001	9	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142519	10	FMC - NEOMEDICA - SOUTH	9200 S. SOUTH CHICAGO  AVE.		CHICAGO	IL	60617	7737347433	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05OCT1978	36	Y	N	N		94	001	97	96		3	001	6	001	3	4	11	10	2010	3	001	437	4174	552	32	154	19	2007-2010	COOK
142520	10	FMC OF WESTCHESTER	2400 WOLF ROAD, SUITE 101 A		WESTCHESTER	IL	60154	7084097780	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05SEP1988	24	Y	N	N		97	001	97	96		1	001	1	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142521	10	FMC - NORRIDGE	4701 NORTH CUMBERLAND AVENUE,  STE 15/18A		NORRIDGE	IL	60706	7084560152	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	17OCT1979	18	Y	N	N		100	001	97	96		4	001	23	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	UNKNOWN
142522	10	FMC - ROGERS PARK	2277 W HOWARD ST		CHICAGO	IL	60645	7732627147	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25OCT1996	20	Y	N	N		94	001	97	96		2	001	4	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142523	10	FMC - NEOMEDICA - WEST BELMONT	4943 W BELMONT AVE.		CHICAGO	IL	60641	7736857500	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	03DEC1979	13	Y	N	N		100	001	97	96		0	001	29	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142524	10	FMC - BRIDGEPORT	825 WEST 35TH STREET		CHICAGO	IL	60609	7738904330	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1980	27	Y	Y	N		99	001	97	96		3	001	4	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142525	10	FMC - NEOMEDICA - ROLLING MEADOWS	4180 WINNETKA AVE.		ROLLING MEADOWS	IL	60008	8473946250	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1980	24	Y	N	N		97	001	97	96		1	001	31	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142526	10	QUAD CITIES KIDNEY CENTER LTD	400 JOHN DEERE RD.		MOLINE	IL	61265	3097625570	N	N	INDEPENDENT	1	01AUG1981	30	Y	Y	N		100	001	97	96		2	001	2	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	ROCK ISLAND
142527	10	METRO EAST DIALYSIS	5105 WEST MAIN STREET		BELLEVILLE	IL	62226	6182339018	Y	Y	DAVITA	1	12SEP1982	36	Y	Y	Y		93	001	97	96		1	001	9	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	SAINT CLAIR
142528	10	DAVITA - LINCOLN PARK NEPHROLOGY ASSN, SC	3157 NORTH LINCOLN AVENUE		CHICAGO	IL	60657	7733480101	N	Y	DAVITA	1	01MAY1982	22	Y	N	Y		100	001	97	96		4	001	10	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142529	10	EMERALD DIALYSIS	710 WEST 43RD STREET		CHICAGO	IL	60609	7738435668	N	Y	DAVITA	1	22JUL1982	24	Y	Y	N		96	001	97	96		4	001	9	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142530	10	FMC - WEST SUBURBAN  DIALYSIS CENTER	518 N AUSTIN SUITE 5000		OAK PARK	IL	60302	7083865550	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1999	46	Y	N	N		97	001	97	96		5	001	1	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142531	10	FMC - NORTHCENTER DIALYSIS	2620 W. ADDISON ST.		CHICAGO	IL	60657	7732480462	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04NOV1983	12	Y	N	N		98	001	97	96		0	001	30	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142533	10	FMC - BERWYN	2601 S HARLEM AVENUE		BERWYN	IL	60402	7084847300	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	11JUN1985	28	Y	Y	N		100	001	97	96		1	001	17	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142534	10	DAVITA - LOGAN SQUARE DIALYSIS SVCS INC	2659 NORTH MILWAUKEE AVENUE		CHICAGO	IL	60647	7732763699	N	Y	DAVITA	1	30OCT1986	20	Y	N	N		95	001	97	96		1	001	22	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142535	10	FMC - SOUTHWEST ILLINOIS	# 7 EASTGATE PLAZA		EAST ALTON	IL	62024	6182541117	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01FEB1988	19	Y	Y	N		98	001	97	96		2	001	27	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	MADISON
142536	10	FMC - WEST METRO DIALYSIS	1044 N MOZART 3RD FLOOR		CHICAGO	IL	60622	7737729400	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	27JAN1987	30	Y	Y	N		97	001	97	96		3	001	36	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142537	10	DAVITA -  GRANITE CITY DIALYSIS CENTER	9  AMERICAN VILLAGE		GRANITE CITY	IL	62040	6184525858	N	Y	DAVITA	1	01APR1988	20	Y	Y	Y		96	001	97	96		6	001	8	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	MADISON
142538	10	FMC - CRESTWOOD	4861 WEST CAL SAG ROAD		CRESTWOOD	IL	60445	7083851400	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1980	32	Y	N	N		98	001	97	96		2	001	3	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142539	10	FMC - BLUE ISLAND DIALYSIS CENTER	12200 SOUTH WESTERN AVE.		BLUE ISLAND	IL	60406	7085979933	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	24JUN1988	24	Y	Y	N		94	001	97	96		5	001	16	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142540	10	CIRCLE MEDICAL MANAGEMENT	1426 W WASHINGTON BLVD		CHICAGO	IL	60607	3128291424	N	N	INDEPENDENT	1	12JAN1988	26	Y	Y	Y		100	001	97	96		3	001	11	001	3	4	11	10	2010	3	001	437	4174	552	32	154	19	2007-2010	COOK
142541	10	DAVITA - MT VERNON DIALYSIS	1800 JEFFERSON AVE.		MOUNT VERNON	IL	62864	6182444852	N	Y	DAVITA	1	05DEC1988	14	Y	Y	Y		94	001	97	96		0	001	3	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	JEFFERSON
142542	10	FMC - NEOMEDICA - SOUTH HOLLAND	17225 S PAXTON AVE		SOUTH HOLLAND	IL	60473	7084748700	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	22DEC1988	17	Y	Y	N		100	001	97	96		0	001	35	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142543	10	FMC - NAPERVILLE DIALYSIS CENTER	100 SPALDING DR  STE 108		NAPERVILLE	IL	60566	6307177171	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25OCT1996	15	Y	Y	N		95	001	97	96		1	001	14	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	DU PAGE
142544	10	DSI - SOUTH HOLLAND	16136 SOUTH PARK AVE		SOUTH HOLLAND	IL	60473	7083310200	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	01JAN1980	20	Y	N	N		100	001	97	96		4	001	5	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142545	10	FMC - NEOMEDICA - EVERGREEN PARK	9730 S WESTERN AVE STE 150		EVERGREEN PARK	IL	60805	7084238833	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	09MAY1989	27	Y	Y	Y		97	001	97	96		1	001	13	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142546	10	RAI - CENTRE WEST SPRINGFIELD	1112 CENTRE WEST DR		SPRINGFIELD	IL	62704	2177873310	N	Y	RENAL ADVANTAGE, INC.	1	25OCT1996	14	Y	Y	Y		94	001	97	96		5	001	2	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	SANGAMON
142547	10	FMCNA - NEOMEDICA - HOFFMAN ESTATES	3150 W HIGGINS RD SUITE 190		HOFFMAN ESTATES	IL	60195	8473100074	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05JUL1990	17	Y	N	N		97	001	97	96		5	001	8	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142548	10	DAVITA - OLYMPIA FIELDS DIALYSIS CENTER	4557 B WEST LINCOLN HIGHWAY		MATTESON	IL	60443	7085031112	N	Y	DAVITA	1	24SEP1990	24	Y	Y	Y		93	001	97	96		9	001	9	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142549	10	FMC - NEOMEDICA - GURNEE	101 S. GREENLEAF , STE B		GURNEE	IL	60031	8472495555	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	19NOV1990	14	Y	Y	N		97	001	97	96		2	001	2	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	LAKE
142550	10	FMC - ORLAND PARK	9160 W 159TH STREET		ORLAND PARK	IL	60462	7084032790	N	Y	FRESENIUS MEDICAL CARE (FMC)	2	25OCT1996	18	Y	Y	N		100	001	97	96		2	001	11	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	COOK
142551	10	FMC - GLENVIEW DIALYSIS CENTER	4248 COMMERCIAL WAY		GLENVIEW	IL	60025	8478242006	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	28NOV1990	20	Y	N	N		95	001	97	96		1	001	10	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	COOK
142552	10	DAVITA - LAKE COUNTY DIALYSIS SERVICES INC	918 S MILWAUKEE AVE		LIBERTYVILLE	IL	60048	8479187010	Y	Y	DAVITA	1	11JAN1991	16	Y	Y	N		96	001	97	96		3	001	7	001	3	4	11	10	2010	1	001	437	4174	552	32	154	19	2007-2010	LAKE
142553	10	SUN HEALTH INC	2121 ONEIDA ST SUITE 104		JOLIET	IL	60435	8157449300	Y	N	INDEPENDENT	1	25OCT1996	17	Y	N	N		96	001	97	96		0	001	3	001	3	4	11	10	2010	2	001	437	4174	552	32	154	19	2007-2010	WILL
