Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
ARA-HOLYOKE DIALYSIS LLC,222595,-,36 LOWER WESTFIELD RD UNIT C-153,HOLYOKE,MA,01040,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7,9",5,5
ARA - LAWTON DIALYSIS,372523,-,EISENHOWER SQUARE - 5110 WEST GORE BLVD STE 12,LAWTON,OK,73505,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
ARA - LAWTON DIALYSIS EAST,372557,-,4516 SE LEE BLVD STE 108,LAWTON,OK,73501,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
"ARA-Ludlow Dialysis, LLC",222580,-,"14 CHESTNUT PLACE, SUITE B",LUDLOW,MA,01056,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
ARA - MCHENRY DIALYSIS CENTER,142737,-,"4209 W. SHAMROCK LANE, UNIT A",MCHENRY,IL,60050,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ARA - MECHANICSVILLE DIALYSIS,492603,-,8400 NORTH RUN MEDICAL DR,MECHANICSVILLE,VA,23116,5,ICH CAHPS,54.32%,0,4,4,59.62%,3,4,4,85.16%,8,5,5,43.26%,0,3,4,56.32%,3,4,4,66.19%,4,4,4,3,-,5,5
ARA - MILWAUKEE,522565,-,MILWAUKEE DIALYSIS CENTER - 4775 N GREEN BAY AVE,MILWAUKEE,WI,53209,11,ICH CAHPS,77.10%,9,3,4,66.80%,7,4,4,86.24%,9,6,5,69.09%,7,4,4,63.73%,5,4,4,77.26%,8,4,4,8,-,5,5
ARA - NAPLES DIALYSIS CENTER LLC,102844,-,4529 EXECUTIVE DRIVE,NAPLES,FL,34119,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ARA - NAPLES SOUTH DIALYSIS CENTER LLC,102899,-,4270 TAMIAMI TRAIL EAST SUITE 1,NAPLES,FL,34112,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ARA NORTH JACKSONVILLE,102877,-,1725 OAKHURST AVENUE SUITE 100,JACKSONVILLE,FL,32208,7,ICH CAHPS,81.30%,10,4,4,74.28%,10,4,4,86.01%,9,4,5,78.38%,10,4,4,73.83%,8,4,4,80.24%,9,4,4,9,-,5,5
ARA SOUTH AUGUSTA CLINIC,112714,-,1649 GORDON HIGHWAY,AUGUSTA,GA,30906,6,ICH CAHPS,61.04%,2,4,4,61.53%,4,4,4,78.93%,4,4,5,48.03%,0,4,4,49.24%,1,3,4,57.69%,2,4,4,2,-,4,5
ARA - SOUTH BARRINGTON DIALYSIS CENTER,142662,-,"33 W HIGGINS ROAD, SUITES 920-945",SOUTH BARRINGTON,IL,60010,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ARA - UNIVERSITY KIDNEY CENTER 3RD STREET,182537,-,635 SOUTH 3RD STREET,LOUISVILLE,KY,40202,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ARA - WEST JACKSONVILLE LLC,102794,-,425 N LEE STREET SUITE 103,JACKSONVILLE,FL,32204,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"ARC/CDC, LTD.",362612,-,3695 STUTZ DRIVE,CANFIELD,OH,44406,9,ICH CAHPS,67.65%,5,5,4,60.43%,4,5,4,77.33%,3,5,5,69.96%,7,5,4,76.95%,9,5,4,69.57%,5,5,4,6,-,6,5
ARC Dialysis Perrine,682682,-,22165 SOUTH DIXIE HWY,Miami,FL,33170,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
Archbold Home Dialysis,112321,-,708 SOUTH BROAD STREET,THOMASVILLE,GA,31792,6,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,4,4,0,-,4,5
ARCHWAY MODESTO HOME TRAINING,552765,-,"3001 HEALTH CARE WAY, SUITE 101",MODESTO,CA,95350,17,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"5,7",6,5
"AR - Grapevine Kidney Center, LLC",672837,-,1270 WILLIAM D. TATE AVE - SUITE 300,GRAPEVINE,TX,76051,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,7,5,5
ARKANSAS CHILDRENS HOSPITAL-DIALYSIS,042310,040117,1 CHILDRENS WAY-SLOT 204,LITTLE ROCK,AR,72202,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
Arkansas Staff Assisted Hemodialysis Clinic,042593,-,9421 WEST MARKHAM - SUITE B,LITTLE ROCK,AR,72205,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
ARLINGTON DIALYSIS CENTER,682545,-,7645 MERRILL RD #204,JACKSONVILLE,FL,32277,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
Arrowhead Regional Medical Center,052334,050245,400 N. PEPPER AVENUE,Colton,CA,92324,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,4,6,5
ARTIFICIAL KIDNEY CENTER - SUFFOLK,492530,-,1005 COMMERCIAL LANE - SUITE 100,SUFFOLK,VA,23434,5,ICH CAHPS,44.32%,0,4,4,51.79%,0,4,4,68.63%,0,5,5,39.68%,0,3,4,47.38%,0,4,4,42.77%,0,4,4,0,-,5,5
ASPIRUS HOSP DIALYSIS CTR,523527,520030,3000 WESTHILL DR - SUITE 106,WAUSAU,WI,54401,11,ICH CAHPS,82.33%,10,3,4,67.99%,7,4,4,86.20%,9,6,5,81.91%,10,4,4,69.46%,7,4,4,81.05%,9,4,4,9,-,5,5
ASPIRUS KIDNEY CARE - MEDFORD,522343,521324,135 S GIBSON ST,MEDFORD,WI,54451,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
ASPIRUS LANGLADE HOSPITAL KIDNEY CARE,523529,521350,501 AURORA ST,ANTIGO,WI,54409,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ASTORIA DIALYSIS CENTER,332652,-,34-01 35TH AVENUE,ASTORIA,NY,11106,2,ICH CAHPS,45.11%,0,4,4,55.55%,1,4,4,62.39%,0,3,5,38.77%,0,3,4,60.71%,4,4,4,55.89%,1,4,4,1,-,4,5
ATHENS KIDNEY CENTER,112674,-,1440 NORTH CHASE STREET,ATHENS,GA,30601,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
ATHENS KIDNEY CENTER,852539,-,103 N. WASHINGTON AVE - SUITE 110,EATONTON,GA,31024,6,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,4,4,0,-,4,5
"Athens Renal Center, LLC",112886,-,2047 PRINCE AVENUE - SUITE A,ATHENS,GA,30606,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
ATLANTIC KIDNEY CENTERS LLC,102710,-,4700 CONGRESS AVE STE 106,WEST PALM BEACH,FL,33407,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
ATLANTIS GUAYAMA,402556,-,BO ALGARROBO - CARR 03 KM 134 7,GUAYAMA,PR,00785,3,ICH CAHPS,67.54%,5,4,4,70.82%,9,4,4,89.32%,10,8,5,41.01%,0,4,4,66.07%,6,6,4,63.37%,3,5,4,6,-,5,5
Atlantis Renal Centre of Aguadilla,402519,-,18 AVE SEVERIANO CUEVAS - WESTERN MEDICAL PLAZA,AGUADILLA,PR,00605,3,ICH CAHPS,72.81%,7,4,4,76.25%,10,4,4,92.54%,10,8,5,64.00%,5,4,4,79.59%,10,6,4,84.87%,10,5,4,9,-,5,5
Atlantis Renal Centre of Caguas,402538,-,AVE LUIS MUNOZ MARIN/ESQ. GEORGETTI - ANGORA CONVENTION CENTER,CAGUAS,PR,00725,3,ICH CAHPS,64.49%,3,4,4,53.62%,0,4,4,85.15%,8,8,5,61.68%,5,4,4,44.25%,0,6,4,49.05%,0,5,4,3,-,5,5
Atlantis Renal Centre of Carolina,402541,-,PASEO DEL PRADO SHOPPING CENTER - CARR PR 3 KM 8 HM 4,CAROLINA,PR,00987,3,ICH CAHPS,57.30%,0,4,4,49.75%,0,4,4,78.93%,4,8,5,47.81%,0,4,4,43.52%,0,6,4,50.08%,0,5,4,1,-,5,5
Atlantis Renal Centre of Dorado,402548,-,PASEO DEL PLATA SHOPPING VILLAGE - AVENUE JOSE EFRON,DORADO,PR,00646,3,ICH CAHPS,60.96%,2,4,4,63.58%,5,4,4,82.50%,6,8,5,58.41%,4,4,4,63.59%,5,6,4,61.85%,3,5,4,4,-,5,5
Atlantis Renal Centre of Fajardo,402521,-,410 AVE GENERAL VALERO STE 101 - TORRE SAN PABLO DEL ESTE,FAJARDO,PR,00738,3,ICH CAHPS,66.31%,4,4,4,63.58%,5,4,4,85.41%,8,8,5,57.91%,3,4,4,64.00%,5,6,4,60.81%,3,5,4,5,-,5,5
Atlantis Renal Centre of Guaynabo,402534,-,CARR. 199 AVE LAS CUMBRES # 140 - GUAYNABO MEDICAL MALL BLDG STE.,GUAYNABO,PR,00969,3,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,8,5,No Rate,0,4,4,No Rate,0,6,4,No Rate,0,5,4,0,-,5,5
Atlantis Renal Centre of Isabela,402537,-,2641 AVE MILITAR - BO GUERRERO,ISABELA,PR,00662,3,ICH CAHPS,66.08%,4,4,4,71.83%,9,4,4,92.94%,10,8,5,57.09%,3,4,4,85.86%,10,6,4,87.05%,10,5,4,8,-,5,5
Atlantis Renal Centre of Juncos,402547,-,BO CEIBA NORTE - CARR 31 KM 24 JUNCOS PLAZA,JUNCOS,PR,00777,3,ICH CAHPS,53.48%,0,4,4,57.41%,2,4,4,81.25%,6,8,5,46.36%,0,4,4,66.74%,6,6,4,59.52%,2,5,4,3,-,5,5
Atlantis Renal Centre of Lares,402535,-,"ATLANTIS HEALTHCARE GROUP OF PR, INC. - B.O. PILETAS, CARR 129",LARES,PR,00669,3,ICH CAHPS,70.93%,6,4,4,64.54%,6,4,4,85.88%,9,8,5,61.92%,5,4,4,67.14%,6,6,4,68.25%,5,5,4,6,-,5,5
Atlantis Renal Centre of Manati,402533,-,THE RENAL CENTER OF MANATI; HOSPITAL DR. CENTER - CARR. 2 KM 47.7,MANATI,PR,00674,3,ICH CAHPS,80.30%,10,4,4,65.23%,6,4,4,86.53%,9,8,5,73.05%,8,4,4,71.48%,8,6,4,66.37%,4,5,4,8,-,5,5
Atlantis Renal Centre of Mayaguez,402527,-,1ST FLOOR OFFICE PARK IV BUILDING - STREET 2 KM 156.5,MAYAGUEZ,PR,00681,3,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,8,5,No Rate,No Score,4,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"6,7",5,5
Atlantis Renal Centre of Ponce,402510,-,917 AVE TITO CASTRO FL 1 - HOSPITAL SAN LUCAS II BO. MACHUE,PONCE,PR,00731,3,ICH CAHPS,67.23%,5,4,4,63.85%,5,4,4,80.45%,5,8,5,67.55%,7,4,4,65.56%,6,6,4,67.79%,5,5,4,6,-,5,5
Atlantis Renal Centre of San German,402552,-,CENTRO COMERCIAL LAS LOMAS - AVE CASTO PEREZ CARR 122 KM 0.6,SAN GERMAN,PR,00683,3,ICH CAHPS,56.51%,0,4,4,58.78%,3,4,4,83.09%,7,8,5,55.17%,2,4,4,60.87%,4,6,4,66.18%,4,5,4,3,-,5,5
Atlantis Renal Centre of San Sebastian,402536,-,AVENUE EMERITO ESTRADA - KM 21.8 PR 25 BO BAHOMAMEY,SAN SEBASTIAN,PR,00685,3,ICH CAHPS,64.00%,3,4,4,73.41%,10,4,4,92.12%,10,8,5,59.67%,4,4,4,68.32%,7,6,4,87.25%,10,5,4,7,-,5,5
Atlantis Renal Centre of Toa Baja,402539,-,CARR 167 AVENIDA COMERIO NORTE #600 - A LA ORDEN SHOPPING CENTER LEVIT,TOA BAJA,PR,00949,3,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,8,5,No Rate,No Score,4,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"6,7",5,5
Attleboro Dialysis Center,222581,-,111 PLEASANT ST,ATTLEBORO,MA,02703,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
Auburn Health LLC,222593,-,771 SOUTH BRIDGE STREET - SUITE 1,AUBURN,MA,01501,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,7,5,5
A UNIQUE KIDNEY CENTER LLC,682504,-,3105 N UNIVERSITY DR,DAVIE,FL,33024,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
AURORA DIALYSIS LLC,352503,-,1451 - 44TH AVE S - SUITE 104 D,GRAND FORKS,ND,58201,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,6,4,No Score,4,4,5
AVANTUS HARLEM GREEN DIALYSIS,332706,-,488 WEST 128TH STREET - 2ND FLOOR,NEW YORK,NY,10027,2,ICH CAHPS,70.82%,6,4,4,60.93%,4,4,4,76.49%,3,3,5,57.93%,3,3,4,53.91%,2,4,4,61.24%,3,4,4,4,-,4,5
AVANTUS IRVING PLACE DIALYSIS CENTER,332704,-,IRVING PLACE DIALYSIS - 120 EAST 16TH STREET 6TH FLOOR,NEW YORK,NY,10003,2,ICH CAHPS,65.07%,4,4,4,54.63%,2,4,4,73.81%,1,3,5,51.60%,2,3,4,53.08%,4,4,4,57.30%,4,4,4,3,-,4,5
AVANTUS UPPER EASTSIDE DIALYSIS,332705,-,315 E 62ND STREET,NEW YORK,NY,10065,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
AVANTUS UPPER MANHATTAN DIALYSIS CENTER,332699,-,801 AMSTERDAM AVENUE,NEW YORK,NY,10025,2,ICH CAHPS,68.59%,5,4,4,62.11%,5,4,4,72.52%,0,3,5,64.33%,5,3,4,61.95%,5,4,4,68.00%,5,4,4,4,-,4,5
AVENTURA DIALYSIS CENTER,102687,-,19056 NE 29TH AVE,AVENTURA,FL,33180,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
AVERA DIALYSIS - BROOKINGS,433510,-,300 22ND AVE STE 101,BROOKINGS,SD,57006,11,ICH CAHPS,No Rate,0,0,4,No Rate,0,0,4,No Rate,0,0,5,No Rate,0,0,4,No Rate,0,0,4,No Rate,0,0,4,0,-,0,5
AVERA DIALYSIS MILBANK,433514,-,301 FLYNN DR STE 4,MILBANK,SD,57252,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,"4,7",0,5
AVERA DIALYSIS - MITCHELL,433511,-,1900 GRASSLAND DR STE 102,MITCHELL,SD,57301,11,ICH CAHPS,No Rate,0,0,4,No Rate,0,0,4,No Rate,0,0,5,No Rate,0,0,4,No Rate,0,0,4,No Rate,0,0,4,0,-,0,5
AVERA DIALYSIS - SIOUX FALLS,432311,-,"1315 S CLIFF AVE - PLAZA 3, SUITE 4000",SIOUX FALLS,SD,57105,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,4,0,5
AVERA DIALYSIS - WAGNER,433512,-,310 W SD HIGHWAY 46,WAGNER,SD,57380,11,ICH CAHPS,No Rate,0,0,4,No Rate,0,0,4,No Rate,0,0,5,No Rate,0,0,4,No Rate,0,0,4,No Rate,0,0,4,0,-,0,5
AVERA GREGORY HEALTHCARE CTR DIALYSIS,432308,431338,400 PARK ST,GREGORY,SD,57533,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,"4,7",0,5
AVERA MARSHALL,242323,-,300 S BRUCE ST,MARSHALL,MN,56258,11,ICH CAHPS,No Rate,0,3,4,No Rate,0,4,4,No Rate,0,5,5,No Rate,0,3,4,No Rate,0,4,4,No Rate,0,4,4,0,-,5,5
AVERA SACRED HEART - YANKTON DIALYSIS,432306,430012,501 SUMMIT ST,YANKTON,SD,57078,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,"4,7",0,5
Avera St Anthonys Hospital ESRD,282316,281329,223 ADAMS ST,ONEILL,NE,68763,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
AVERA ST LUKES HOSPITAL,432302,430014,305 S STATE ST,ABERDEEN,SD,57401,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,4,0,5
AVERA ST MARYS HOSPITAL,432305,430015,801 EAST SIOUX,PIERRE,SD,57501,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,4,0,5
Avon Dialysis Inc,072556,-,54 WEST AVON RD,Avon,CT,06001,1,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7,9",5,5
"Azusa Dialysis Center, LLC",552573,-,312 N. AZUSA AVENUE,Azusa,CA,91702,18,ICH CAHPS,66.41%,4,5,4,75.74%,10,6,4,84.05%,7,5,5,47.62%,0,5,4,69.52%,7,6,4,69.83%,6,6,4,6,-,6,5
Baldwin Dialysis Center,852532,-,1310 NORTH COLUMBIA STREET,MILLEDGEVILLE,GA,31061,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
BAMBERG DIALYSIS,422594,-,2046 MAIN HIGHWAY,BAMBERG,SC,29003,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
BAPTIST MEDICAL CENTER - PEDIATRIC DIALYSIS,102330,100088,800 PRUDENTIAL DR - M2WEST,JACKSONVILLE,FL,32207,7,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,4,0,-,5,5
BASSETT HEALTHCARE,333531,-,1 ASSOCIATE DRIVE - RENAL DIALYSIS FACILITY,ONEONTA,NY,13820,2,ICH CAHPS,65.62%,4,4,4,53.40%,1,4,4,79.69%,4,3,5,43.71%,0,3,4,48.21%,0,4,4,44.48%,0,4,4,2,-,4,5
BASSETT HEALTHCARE LITTLE FALLS DIALYSIS,333563,-,140 BURWELL STREET,LITTLE FALLS,NY,13365,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
BAY AREA DIALYSIS CORPUS CHRISTI,452619,-,1647 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78404,14,ICH CAHPS,66.51%,4,5,4,70.91%,9,4,4,84.48%,8,4,5,60.43%,4,4,4,75.23%,9,4,4,85.28%,10,5,4,7,-,5,5
BAY AREA DIALYSIS SERVICES AT ALICE,452692,-,901 MEDICAL CENTER BLVD,ALICE,TX,78332,14,ICH CAHPS,79.69%,10,5,4,66.45%,7,4,4,87.88%,10,4,5,70.77%,8,4,4,81.96%,10,4,4,81.08%,9,5,4,9,-,5,5
BAY AREA DIALYSIS SERVICES AT ARANSAS PASS,452645,-,709 S COMMERCIAL - SUITE C-1,ARANSAS PASS,TX,78336,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
BAY AREA DIALYSIS SERVICES AT KINGSVILLE,452620,-,2213 SOUTH BRAHMA BLVD,KINGSVILLE,TX,78363,14,ICH CAHPS,60.78%,2,5,4,55.78%,1,4,4,73.41%,0,4,5,61.64%,5,4,4,57.73%,5,4,4,59.88%,2,5,4,3,-,5,5
BAY AREA DIALYSIS SINTON,452633,-,222 E SINTON BLVD,SINTON,TX,78387,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
BAY AREA DIALYSIS SOUTHSIDE,452735,-,4112 S STAPLES STE AB,CORPUS CHRISTI,TX,78411,14,ICH CAHPS,73.22%,7,5,4,61.82%,4,4,4,76.64%,2,4,5,64.28%,5,4,4,52.73%,2,4,4,58.73%,2,5,4,4,-,5,5
BAY AREA REG DIALYSIS - ESSEXVILLE,232532,-,1536 W CENTER RD,ESSEXVILLE,MI,48732,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
BAY AREA REGL DIALYSIS CTR - SAGINAW,232519,-,4800 MCLEOD DR E,SAGINAW,MI,48604,11,ICH CAHPS,54.58%,0,5,4,54.20%,1,5,4,69.33%,0,5,5,43.02%,0,4,4,61.20%,4,5,4,79.66%,9,5,4,2,-,5,5
BAY AREA REGL DIALYSIS CTR - SAGINAW RIVERSIDE,232598,-,920 N NIAGARA ST,SAGINAW,MI,48602,11,ICH CAHPS,83.65%,10,5,4,74.87%,10,5,4,81.21%,5,5,5,79.51%,10,4,4,79.78%,10,5,4,84.45%,10,5,4,9,-,5,5
BAY CITY REGIONAL DIALYSIS CENTER,672666,-,"200 MEDICAL CENTER COURT, SUITE 200",BAY CITY,TX,77414,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
BAYHEALTH MEDICAL CENTER,082301,080004,640 S STATE STREET,dover,DE,19901,4,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,2,5,No Rate,No Score,3,4,No Rate,No Score,2,4,No Rate,No Score,3,4,No Score,"4,7",4,5
