"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"030064","15","UAMC DIALYSIS UNIT","PO BOX 245148","","TUCSON","AZ","85724","PIMA","(520) 694-7176","Non-Profit","No","INDEPENDENT","0","4","1","1","0","2012-09-20 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","","199","","199","1","","","","201","","0","","201","0","001","","199","","201","0","50","57","2","2","0","0","","201","","201","0","0","201","0","0","","2","2","199","","","","","","01/01/2010-12/31/2013","01/01/2013-12/31/2013","","","","","Not Available","201","Not Available","199","0","10","",""
"031308","15","GILA RIVER DIALYSIS EAST","565 W SEED FARM RD","","SACATON","AZ","85247","PINAL","(602) 271-7900","Non-Profit","No","INDEPENDENT","0","40","1","1","0","2006-01-04 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","6","001","0","001","112","0.43","1.02","0.2","001","As Expected","124","97","001","96","001","","257","","254","119","129","1267","0","0","0","0","67","001","10","001","132","1350","001","138","1425","0","145","1464","001","6","23","34","24","13","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.43","0.66","0.64","0.36","As Expected","001","Better than Expected","001","133","558","0.93","0.49"
"032500","15","TUCSON WEST DIALYSIS (DVA)","1780 W ANKLAM RD","","TUCSON","AZ","85745","PIMA","(520) 624-2220","Profit","Yes","GAMBRO HEALTHCARE","0","35","1","1","0","1988-09-28 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","14","001","2","001","42","1.53","3.07","0.83","001","As Expected","81","100","001","81","001","94","001","","199","36","123","508","29","233","1","12","55","001","8","001","125","537","001","122","1056","1","127","1095","001","11","36","32","15","7","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.54","1.27","0.54","0.74","As Expected","001","As Expected","001","97","540","0.9","0.98"
"032501","15","TUCSON EAST DIALYSIS (DVA)","6420 E BROADWAY BLVD STE C300","","TUCSON","AZ","85710","PIMA","(520) 790-2775","Profit","Yes","DAVITA","1","27","1","1","1","1978-05-26 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","16","001","0","001","112","0.76","1.48","0.42","001","As Expected","175","98","001","86","001","86","001","","254","98","146","1028","31","232","0","0","78","001","7","001","160","1158","001","231","1920","2","238","1984","001","11","31","36","14","8","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.61","1.33","0.74","0.96","As Expected","001","As Expected","001","198","1102","1.07","1.14"
"032502","15","YUMA DIALYSIS (DVA)","2130 W 24TH ST","","YUMA","AZ","85364","YUMA","(928) 783-2365","Profit","Yes","DAVITA","0","30","1","1","0","1978-06-28 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","11","001","0","001","119","0.73","1.28","0.44","001","As Expected","216","100","001","95","001","95","001","","254","89","148","1081","69","553","0","0","67","001","8","001","155","1145","001","287","2658","0","302","2766","001","13","33","35","13","7","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.19","1.28","0.54","0.91","As Expected","001","As Expected","001","236","1177","0.79","1.08"
"032503","15","PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)","13090 N 94TH DR STE 100","","PEORIA","AZ","85381","MARICOPA","(623) 974-5851","Profit","Yes","FRESENIUS MEDICAL CARE","0","21","1","1","0","1979-03-26 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","0","001","0","001","20","0.89","3.56","0.26","001","As Expected","36","100","001","88","001","","257","","254","21","45","270","0","0","0","0","73","001","8","001","46","302","001","62","449","5","68","482","001","15","27","22","27","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.1","1.28","0.71","0.73","As Expected","001","As Expected","001","46","301","1.19","0.98"
"032504","15","CAMELBACK DIALYSIS (DVA)","7321 E OSBORN DR","","SCOTTSDALE","AZ","85251","MARICOPA","(480) 970-0924","Profit","Yes","DAVITA","0","8","1","1","1","1997-01-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","20","001","0","001","15","0.66","5.52","0.1","001","As Expected","23","","199","","199","","199","","254","1","6","25","6","38","0","0","84","001","0","001","20","153","001","31","228","3","15","82","001","40","22","17","11","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.74","1.4","0.27","0.43","As Expected","001","As Expected","001","27","163","0.65","0.82"
"032506","15","TUBA CITY DIALYSIS UNIT (DVA)","500 EDGEWATER DRIVE","PO BOX 2910","TUBA CITY","AZ","86045","COCONINO","(928) 283-4525","Profit","Yes","DAVITA","0","26","1","1","0","1990-11-15 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","6","001","2","001","84","0.65","1.36","0.34","001","As Expected","117","100","001","95","001","98","001","","254","84","108","969","23","189","0","0","75","001","4","001","110","1022","001","134","1279","0","143","1333","001","13","26","32","17","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.34","0.49","0.52","0.21","As Expected","001","Better than Expected","001","126","513","0.81","0.33"
"032508","15","SOUTH PHOENIX DIALYSIS SERVICES (FMC)","1021 S 7TH AVE STE 108","","PHOENIX","AZ","85007","MARICOPA","(602) 253-1954","Profit","Yes","FRESENIUS MEDICAL CARE","0","18","1","0","0","1985-02-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","3","001","0","001","32","1.19","2.78","0.57","001","As Expected","73","100","001","90","001","","257","","254","35","71","438","0","0","0","0","72","001","8","001","79","469","001","105","919","3","108","891","001","15","33","26","19","7","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2","1.03","0.79","0.53","As Expected","001","As Expected","001","79","459","1.24","0.75"
"032509","15","EAST VALLEY DIALYSIS (FMC)","135 S POWER RD STE 103","","MESA","AZ","85206","MARICOPA","(480) 985-4911","Profit","Yes","RENAL CARE GROUP INC.","0","36","1","0","0","1997-09-11 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","6","001","0","001","53","1.12","2.33","0.59","001","As Expected","102","100","001","78","001","","257","","254","55","120","629","0","0","0","0","65","001","14","001","142","755","001","149","988","2","168","1055","001","7","24","28","25","16","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.45","1.48","1.21","0.97","Worse than Expected","001","As Expected","001","123","584","1.71","1.2"
"032513","15","SELLS DIALYSIS (DVA)","HWY 86 - MP 113","","SELLS","AZ","85634","PIMA","(520) 383-1701","Profit","Yes","GAMBRO HEALTHCARE","0","20","1","1","0","1985-01-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","0","001","62","0.15","0.93","0.03","001","Better than Expected","80","100","001","95","001","","257","","254","71","82","776","0","0","0","0","82","001","2","001","87","809","001","119","1195","1","120","1219","001","13","29","34","15","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","0.9","0.8","0.24","0.43","Better than Expected","001","Better than Expected","001","82","476","0.46","0.59"
"032514","15","DESERT DIALYSIS CENTER (DCI)","2022 E PRINCE RD","","TUCSON","AZ","85719","PIMA","(520) 327-0007","Non-Profit","No","DIALYSIS CLINIC, INC.","0","19","1","1","1","1986-01-16 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","14","001","0","001","37","1.18","2.81","0.55","001","As Expected","65","92","001","89","001","60","001","","201","24","40","239","28","235","0","0","76","001","9","001","47","302","001","82","664","4","84","672","001","6","26","24","28","17","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.89","1.97","0.64","1.13","As Expected","001","Worse than Expected","001","74","353","1.08","1.51"
"032515","15","WHITERIVER DIALYSIS (FMC)","HWY 73  MP 342","","WHITERIVER","AZ","85941","NAVAJO","(928) 338-1498","Profit","Yes","RENAL CARE GROUP INC.","0","16","1","0","0","1985-11-15 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","0","001","0","001","41","0.26","1.37","0.06","001","As Expected","54","100","001","95","001","","257","","254","52","61","568","0","0","0","0","72","001","5","001","63","589","001","64","630","0","66","641","001","10","24","27","26","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.24","0.98","0.31","0.46","As Expected","001","Better than Expected","001","56","276","0.61","0.68"
"032516","15","CHANDLER DIALYSIS (FMC)","912 W CHANDLER BLVD BLDG A-D","","CHANDLER","AZ","85225","MARICOPA","(480) 821-9801","Profit","Yes","RENAL CARE GROUP INC.","1","24","1","0","0","1985-10-30 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","4","001","0","001","45","0.6","1.93","0.22","001","As Expected","77","100","001","86","001","","257","","254","48","80","534","0","0","0","0","68","001","9","001","88","603","001","113","971","5","119","1010","001","10","27","27","25","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.92","1.38","0.73","0.8","As Expected","001","As Expected","001","89","498","1.17","1.06"
"032517","15","CENTRAL PHX DIALYSIS (FMC)","3421 N 7TH AVE","","PHOENIX","AZ","85013","MARICOPA","(602) 274-2293","Profit","Yes","FRESENIUS MEDICAL CARE","0","16","1","0","0","1997-09-08 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","0","001","37","0.82","2.37","0.32","001","As Expected","70","100","001","87","001","","257","","254","38","65","456","0","0","0","0","67","001","11","001","68","502","001","105","859","3","113","920","001","13","27","26","24","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.39","1.49","1.04","0.88","Worse than Expected","001","As Expected","001","78","455","1.56","1.16"
"032518","15","FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA)","US HWY 191","","CHINLE","AZ","86503","APACHE","(928) 674-3674","Profit","Yes","DAVITA","0","26","1","0","0","1987-04-14 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","4","001","0","001","57","0.85","1.83","0.43","001","As Expected","81","100","001","91","001","","257","","254","67","90","779","0","0","0","0","61","001","4","001","94","836","001","98","892","0","102","949","001","15","30","27","19","8","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.24","0.79","0.44","0.41","As Expected","001","Better than Expected","001","90","406","0.73","0.57"
"032520","15","SIERRA VISTA DIALYSIS (DVA)","629 N HIGHWAY 90 STE 6 & 7","","SIERRA VISTA","AZ","85635","COCHISE","(520) 459-7791","Profit","Yes","GAMBRO HEALTHCARE","0","20","1","0","0","1987-06-20 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","10","001","0","001","40","0.58","1.67","0.23","001","As Expected","71","100","001","92","001","","257","","254","51","74","558","0","0","0","0","83","001","5","001","79","611","001","92","750","0","100","798","001","9","32","36","13","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.32","1.4","0.39","0.86","As Expected","001","As Expected","001","78","433","0.7","1.11"
"032521","15","DIALYSIS CENTER OF GLENDALE (FMC)","5957 W NORTHERN AVE STE 108","","GLENDALE","AZ","85301","MARICOPA","(623) 435-1155","Profit","Yes","FRESENIUS MEDICAL CARE","0","18","1","0","0","1985-03-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","6","001","0","001","35","0.48","1.63","0.16","001","As Expected","73","100","001","91","001","","257","","254","46","62","514","0","0","0","0","78","001","8","001","65","561","001","117","1133","4","126","1189","001","10","26","29","24","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.86","1.27","0.7","0.73","As Expected","001","As Expected","001","83","517","1.13","0.97"
"032522","15","PARKER DIALYSIS CENTER (FMC)","AGENCY ROAD BLDG 173","RURAL RT 1/AGENCY ROAD","PARKER","AZ","85344","LA PAZ","(928) 669-9838","Profit","Yes","FRESENIUS MEDICAL CARE","0","10","1","0","0","1988-07-20 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","15","001","0","001","26","0.3","2.52","0.05","001","As Expected","39","100","001","84","001","","257","","254","24","49","304","0","0","0","0","82","001","3","001","52","331","001","55","444","1","61","469","001","7","28","29","23","13","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.57","1.08","0.49","0.45","As Expected","001","As Expected","001","43","230","0.85","0.72"
"032523","15","PRESCOTT DIALYSIS (DVA)","980 WILLOW CREEK RD STE 101","","PRESCOTT","AZ","86301","YAVAPAI","(928) 776-9459","Profit","Yes","NATIONAL RENAL INSTITUTES","0","12","1","0","0","1988-07-18 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","11","001","0","001","28","1.37","3.81","0.56","001","As Expected","36","100","001","94","001","","257","","254","33","54","329","0","0","0","0","82","001","3","001","55","348","001","43","368","0","45","375","001","21","31","37","6","6","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.72","1.77","0.51","0.97","As Expected","001","As Expected","001","40","205","0.9","1.33"
"032524","15","FLAGSTAFF DIALYSIS CENTER (FMC)","5200 E CORTLAND BLVD STE A1-A4","","FLAGSTAFF","AZ","86004","COCONINO","(928) 527-4990","Profit","Yes","FRESENIUS MEDICAL CARE","1","16","1","0","0","1989-12-08 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","6","001","0","001","18","0.58","2.98","0.14","001","As Expected","34","100","001","71","001","","257","","254","28","86","379","0","0","0","0","74","001","11","001","88","424","001","52","349","2","52","365","001","12","24","25","23","15","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.58","1.13","0.4","0.58","As Expected","001","As Expected","001","43","364","0.79","0.82"
"032525","15","DESERT MOUNTAIN DIALYSIS (DVA)","9220 E MOUNTAIN VIEW RD STE 105","","SCOTTSDALE","AZ","85258","MARICOPA","(480) 391-2241","Profit","Yes","DAVITA","0","24","1","0","0","1988-09-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","12","001","0","001","52","0.62","2.27","0.2","001","As Expected","66","98","001","85","001","","257","","254","54","157","638","0","0","0","0","74","001","9","001","168","708","001","96","625","1","102","663","001","11","35","43","8","3","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.76","1.24","0.58","0.76","As Expected","001","As Expected","001","88","385","0.99","0.98"
"032526","15","SOUTHWEST MESA DIALYSIS (DSI)","1457 W SOUTHERN AVE STE 19","","MESA","AZ","85202","MARICOPA","(480) 894-5411","Profit","Yes","NATIONAL RENAL INSTITUTES","1","24","1","1","0","1988-12-07 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","0","001","26","0.84","2.87","0.29","001","As Expected","42","100","001","97","001","","257","","199","28","44","317","0","0","1","12","59","001","25","001","45","339","001","56","497","6","57","498","001","9","19","26","30","16","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2","1.49","0.63","0.76","As Expected","001","As Expected","001","46","285","1.11","1.08"
"032528","15","THUNDERBIRD DIALYSIS (FMC)","5750 W THUNDERBIRD RD BLDG G #750","","GLENDALE","AZ","85306","MARICOPA","(602) 439-9502","Profit","Yes","RENAL CARE GROUP INC.","0","24","1","1","0","1989-05-03 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","17","001","0","001","72","1.39","2.46","0.85","001","As Expected","139","99","001","85","001","80","001","","201","69","115","809","22","147","0","0","69","001","13","001","124","867","001","164","1282","2","174","1309","001","7","26","26","27","15","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.34","1.62","1.16","1.11","Worse than Expected","001","Worse than Expected","001","162","804","1.62","1.35"
"032530","15","DESERT VALLEY DIALYSIS (FMC)","15846 N CAVE CREEK RD STE 2","","PHOENIX","AZ","85032","MARICOPA","(602) 971-4555","Profit","Yes","FRESENIUS MEDICAL CARE","0","16","1","0","0","1989-10-18 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","9","001","0","001","46","1.22","2.67","0.61","001","As Expected","79","100","001","88","001","","257","","254","47","100","531","0","0","0","0","71","001","14","001","120","625","001","113","868","1","127","943","001","7","25","30","25","13","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.08","1.48","0.84","0.94","As Expected","001","As Expected","001","96","501","1.31","1.19"
"032533","15","GLOBE DIALYSIS (FMC)","2250 HIGHWAY 60 STE O-2","","MIAMI","AZ","85539","GILA","(928) 425-2624","Profit","Yes","RENAL CARE GROUP INC.","0","16","1","1","0","1990-10-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","12","001","0","001","25","0.78","2.85","0.25","001","As Expected","30","100","001","77","001","","257","","254","29","51","348","0","0","0","0","68","001","13","001","53","367","001","43","336","1","47","351","001","15","28","23","19","16","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.01","2.05","0.64","1.1","As Expected","001","Worse than Expected","001","43","204","1.12","1.52"
"032535","15","HOME DIALYSIS OF MESA (FMC)","1337 S GILBERT RD STE 106","","MESA","AZ","85204","MARICOPA","(480) 926-9222","Profit","Yes","RENAL CARE GROUP INC.","0","1","1","1","1","1991-06-17 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","13","001","0","001","16","1.33","4.24","0.48","001","As Expected","43","","199","","199","80","001","","254","1","1","12","31","224","0","0","","199","","199","2","24","001","60","392","3","60","375","001","12","30","21","22","15","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.03","1.53","0.64","0.7","As Expected","001","As Expected","001","47","290","1.11","1.06"
"032536","15","WINSLOW DIALYSIS CENTER (FMC)","721 MIKE'S PIKE STREET","","WINSLOW","AZ","86047","NAVAJO","(928) 289-1003","Profit","Yes","FRESENIUS MEDICAL CARE","1","16","1","0","0","1991-07-30 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","3","001","0","001","36","0.79","2.19","0.32","001","As Expected","59","100","001","94","001","","257","","254","43","68","515","0","0","0","0","73","001","13","001","72","558","001","71","632","3","74","663","001","7","24","28","24","16","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.27","1.05","0.38","0.53","As Expected","001","As Expected","001","64","310","0.69","0.75"
"032537","15","ESTRELLA DIALYSIS CENTER (FMC)","5546 W ROOSEVELT ST STE 1","","PHOENIX","AZ","85043","MARICOPA","(602) 352-0724","Profit","Yes","FRESENIUS MEDICAL CARE","0","22","1","0","0","1991-08-19 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","16","001","0","001","44","0.96","2.22","0.46","001","As Expected","80","100","001","90","001","","257","","254","51","87","586","0","0","0","0","81","001","8","001","91","613","001","131","1178","4","137","1215","001","11","26","30","26","7","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.38","1.16","1.09","0.65","Worse than Expected","001","As Expected","001","91","571","1.59","0.88"
"032539","15","MESA DIALYSIS CENTER (FMC)","1525 N GILBERT RD STE 121","","GILBERT","AZ","85234","MARICOPA","(480) 497-1127","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","1","0","1997-09-08 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","10","001","0","001","20","1.75","4.17","0.82","001","As Expected","47","96","001","83","001","","257","","254","26","52","301","0","0","0","0","69","001","12","001","56","337","001","72","596","3","78","620","001","14","30","26","20","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.23","1.22","0.75","0.62","As Expected","001","As Expected","001","55","354","1.28","0.88"
"032540","15","WESTERN SKIES DIALYSIS INC.","1041 N ARIZOLA RD","","CASA GRANDE","AZ","85122","PINAL","(520) 836-5883","Profit","Yes","INDEPENDENT","0","16","1","1","0","1996-06-24 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","32","001","0","001","22","1.93","3.51","1.14","001","Worse than Expected","75","93","001","93","001","","201","","201","44","58","485","0","0","0","0","46","001","29","001","64","522","201","0","0","","0","0","201","","","","","","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.36","1.48","1.02","0.86","Worse than Expected","001","As Expected","001","82","401","1.54","1.14"
"032541","15","TEMPE DIALYSIS (FMC)","1449 W SOUTHERN AVE","","TEMPE","AZ","85282","MARICOPA","(480) 967-6360","Profit","Yes","RENAL CARE GROUP INC.","0","20","1","0","0","1997-09-29 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","9","001","0","001","45","0.83","2.22","0.35","001","As Expected","72","100","001","90","001","","257","","254","42","86","538","0","0","0","0","61","001","8","001","90","597","001","97","727","1","104","786","001","14","28","24","23","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.92","1.56","0.72","0.84","As Expected","001","As Expected","001","83","371","1.16","1.16"
"032542","15","ARCADIA DIALYSIS CENTER (FMC)","2702 N 44TH ST STE 107B","","PHOENIX","AZ","85008","MARICOPA","(602) 955-7475","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","0","0","1992-12-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","4","001","0","001","28","0.57","2.27","0.17","001","As Expected","56","100","001","92","001","","257","","254","31","49","373","0","0","0","0","74","001","12","001","51","391","001","70","594","2","74","613","001","8","27","29","25","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.58","1.27","0.45","0.63","As Expected","001","As Expected","001","63","322","0.83","0.91"
"032543","15","NOGALES DIALYSIS (DVA)","1605 N. INDUSTRIAL PARK DR. STE H","","NOGALES","AZ","85621","SANTA CRUZ","(520) 281-5779","Profit","Yes","GAMBRO HEALTHCARE","0","13","1","1","0","1993-03-15 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","0","001","0","001","20","0.44","2.27","0.1","001","As Expected","49","100","001","90","001","","257","","254","27","48","326","0","0","0","0","84","001","1","001","48","345","001","68","629","1","71","657","001","7","33","42","11","7","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.59","1.41","0.39","0.69","As Expected","001","As Expected","001","50","286","0.78","1"
"032544","15","LAKE HAVASU DIALYSIS (FMC)","2145 MESQUITE AVE","","LAKE HAVASU CITY","AZ","86403","MOHAVE","(928) 302-5145","Profit","Yes","RENAL CARE GROUP INC.","0","12","1","1","0","1993-04-06 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","11","001","0","001","45","0.64","2.17","0.22","001","As Expected","59","100","001","78","001","66","001","","254","41","74","498","12","83","0","0","71","001","6","001","85","550","001","75","559","4","82","601","001","7","27","33","21","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.77","1.33","0.58","0.79","As Expected","001","As Expected","001","73","383","1","1.04"
"032545","15","SOUTH MOUNTAIN DIALYSIS CENTER (FMC)","26 E BASELINE STE 142","","PHOENIX","AZ","85042","MARICOPA","(602) 268-8158","Profit","Yes","FRESENIUS MEDICAL CARE","0","17","1","0","0","1993-05-03 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","0","001","37","0.83","2.13","0.36","001","As Expected","71","100","001","93","001","","257","","254","43","70","528","0","0","0","0","78","001","6","001","74","556","001","94","898","4","104","930","001","12","30","30","22","6","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.92","1.16","0.74","0.59","As Expected","001","As Expected","001","78","427","1.17","0.84"
"032546","15","SUN CITY WEST DIALYSIS (FMC)","12213 W BELL ROAD STE 110","","SURPRISE","AZ","85374","MARICOPA","(623) 583-8865","Profit","Yes","FRESENIUS MEDICAL CARE","0","18","1","0","0","1993-05-19 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","","199","","199","7","","","","199","","21","","199","84","001","","257","","254","7","30","116","0","0","0","0","64","001","14","001","32","137","001","33","243","2","35","259","001","13","34","28","17","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.79","2.18","0.54","1.08","As Expected","001","Worse than Expected","001","24","171","1.17","1.56"
"032547","15","SUN CITY DIALYSIS (FMC)","10050 W BELL RD STE 29-31","","SUN CITY","AZ","85351","MARICOPA","(623) 815-1770","Profit","Yes","RENAL CARE GROUP INC.","0","12","1","1","0","1997-09-13 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","0","001","0","001","19","0.7","3.63","0.17","001","As Expected","35","100","001","85","001","","257","","201","22","44","242","0","0","0","0","86","001","3","001","46","253","001","49","367","1","53","386","001","11","28","26","25","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.06","1.29","0.61","0.59","As Expected","001","As Expected","001","41","223","1.08","0.89"
