Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
FMC - DEFUNIAK SPRINGS,102869,,,,43 SHOEMAKER DRIVE,,DEFUNIAK SPRINGS,FL,32433,7,10,0%,33,0%,26,Achievement,10,97%,47,410,96%,356,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,61%,42,440,66%,375,Achievement,10,3%,44,402,4%,336,Achievement,8,10,10,9,10,94,No reduction,11/10/2008,FRESENIUS MEDICAL CARE,05/18/2011
NORMANDY VILLAGE DIALYSIS CENTER,102870,,,,7764 NORMANDY BOULEVARD,,JACKSONVILLE,FL,32221,7,10,0%,68,0%,63,Achievement,10,99%,96,789,99%,707,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,76%,77,807,76%,746,Achievement,10,5%,81,756,4%,672,Achievement,10,10,10,10,10,100,No reduction,12/03/2008,AMERICAN RENAL ASSOCIATES,12/19/2011
FMC - MANDARIN,102871,,,,9143 PHILIPS HIGHWAY SUITE 110,,JACKSONVILLE,FL,32256,7,10,0%,31,0%,25,Achievement,2,86%,49,322,83%,272,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,1,46%,36,326,42%,265,Improvement,3,18%,40,291,21%,228,Achievement,2,10,10,10,10,60,No reduction,01/23/2009,FRESENIUS MEDICAL CARE,06/22/2010
KIDNEY SPA LLC,102872,,,,219 NORTHWEST 12TH AVENUE #C4,,MIAMI,FL,33128,7,10,0%,89,0%,88,Achievement,10,98%,108,1013,98%,992,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,82%,95,1039,80%,1022,Achievement,10,4%,101,1009,4%,956,Achievement,10,10,10,10,10,100,No reduction,02/02/2009,NOT A CHAIN,07/25/2013
JACKSONVILLE SOUTH DIALYSIS CENTER,102873,,,,14965 OLD STREET AUGUSTINE ROAD UNIT 114,,JACKSONVILLE,FL,32258,7,6,2%,53,2%,52,Achievement,8,95%,76,491,91%,437,Achievement,9,91%,12,58,Insufficient data,68,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,3,55%,56,577,49%,503,Achievement,5,14%,59,530,26%,457,Achievement,4,10,10,10,10,70,No reduction,02/06/2009,DAVITA,08/31/2011
CORVA GULF COAST DIALYSIS CENTER,102874,,,,1121 OVERCASH DRIVE,,DUNEDIN,FL,34698,7,10,0%,25,0%,30,Achievement,9,96%,49,410,95%,425,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,1,N/A,9,6,65%,43,441,52%,425,Achievement,9,6%,45,397,8%,390,Achievement,8,10,N/A,10,10,92,No reduction,02/17/2009,NOT A CHAIN,05/10/2013
AVENTURA KIDNEY CENTER,102875,,,,22 SOUTHWEST 11TH STREET,,HALLANDALE BEACH,FL,33009,7,10,0%,35,0%,36,Achievement,10,98%,61,337,96%,385,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,77%,41,383,78%,374,Achievement,4,15%,43,331,13%,337,Achievement,7,10,10,10,10,93,No reduction,02/04/2009,DAVITA,02/11/2014
WESTERN COMMUNITY DIALYSIS CENTER LLC,102876,,,,11301 OKEECHOBEE BOULEVARD,,ROYAL PALM BEACH,FL,33411,7,10,0%,40,0%,33,Achievement,10,97%,48,372,96%,335,Achievement,N/A,Insufficient data,N/A,72,Insufficient data,74,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,66%,38,389,63%,332,Achievement,3,17%,41,365,13%,306,Achievement,5,10,10,10,10,88,No reduction,12/21/2009,AMERICAN RENAL ASSOCIATES,09/08/2011
ARA NORTH JACKSONVILLE,102877,,,,1725 OAKHURST AVENUE SUITE 100,,JACKSONVILLE,FL,32208,7,10,0%,35,0%,32,Achievement,10,98%,47,407,99%,355,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,44%,40,422,43%,384,Achievement,4,16%,43,386,17%,355,Achievement,2,10,10,10,10,80,No reduction,04/10/2009,AMERICAN RENAL ASSOCIATES,05/17/2010
ADVANCED DIALYSIS CENTER OF FT LAUDERDALE,102878,,,,911 EAST OAKLAND PARK BOULEVARD,,OAKLAND PARK,FL,33334,7,10,0%,60,0%,57,Achievement,7,94%,89,683,95%,731,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,9,72%,69,712,69%,736,Achievement,8,8%,74,667,10%,671,Achievement,8,10,10,10,10,88,No reduction,06/03/2009,DAVITA,03/28/2011
FMC - OCEANWAY,102879,,,,12961 NORTH MAIN STREET SUITE 305,,JACKSONVILLE,FL,32218,7,10,0%,37,0%,29,Achievement,2,77%,51,377,69%,308,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,1,50%,39,395,63%,322,Achievement,0,24%,40,352,20%,286,Achievement,0,10,10,10,10,55,0.5%,06/03/2009,FRESENIUS MEDICAL CARE,10/13/2010
WINTER GARDEN DIALYSIS,102880,,,,1222 WINTER GARDEN VINELAND ROAD,BLDG 3 SUITE 100,WINTER GARDEN,FL,34787,7,10,0%,27,0%,24,Achievement,9,96%,52,312,95%,263,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,3,56%,33,300,53%,257,Achievement,10,5%,36,267,9%,229,Achievement,7,10,10,10,10,90,No reduction,05/27/2009,DAVITA,08/03/2009
DEFUNIAK SPRINGS DIALYSIS,102881,,,,1045 US HIGHWAY 331 SOUTH,,DEFUNIAK SPRINGS,FL,32435,7,N/A,Insufficient data,8,Insufficient data,10,N/A,6,93%,18,84,92%,112,Achievement,N/A,Insufficient data,N/A,13,Insufficient data,25,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,N/A,Insufficient data,N/A,77,Insufficient data,100,N/A,N/A,Insufficient data,N/A,68,0%,101,N/A,N/A,N/A,N/A,10,10,70,No reduction,06/17/2009,DAVITA,11/18/2009
LEHIGH ACRES DIALYSIS CENTER LLC,102882,,,,3227 LEE BOULEVARD,UNIT A,LEHIGH ACRES,FL,33971,7,10,0%,77,0%,67,Achievement,9,96%,95,762,97%,661,Achievement,3,73%,20,166,68%,121,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,1,48%,78,766,54%,669,Achievement,7,10%,82,700,14%,602,Achievement,4,10,10,10,10,80,No reduction,06/22/2009,AMERICAN RENAL ASSOCIATES,07/06/2012
RENAL CAREPARTNERS AT MEMORIAL WEST LLC,102883,,,,601 NORTH FLAMINGO ROAD SUITE 109,,HOLLYWOOD,FL,33028,7,10,0%,28,0%,31,Achievement,2,40%,40,296,24%,333,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,7,67%,34,326,66%,354,Achievement,6,12%,38,298,14%,318,Achievement,6,10,10,10,10,70,No reduction,07/20/2009,OTHER CHAIN(number of facilities <20 ),03/20/2014
ORLANDO PARK DIALYSIS,102884,,,,"5397 WEST COLONIAL DRIVE, SUITE #120",,ORLANDO,FL,32808,7,10,0%,52,0%,47,Achievement,7,94%,73,502,94%,435,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,57%,54,574,56%,472,Achievement,6,11%,57,522,13%,419,Achievement,5,10,10,10,10,80,No reduction,07/28/2009,DAVITA,05/17/2011
GREATER TAMPA AT HOME,102885,,,,4204 NORTH MAC DILL AVENUE,North Bldg. Suite 1,TAMPA,FL,33607,7,10,0%,25,0%,19,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,93%,18,114,Insufficient data,64,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,83%,19,185,88%,168,Achievement,10,2%,21,161,2%,140,Achievement,10,N/A,N/A,10,10,98,No reduction,10/01/2009,DAVITA,03/13/2014
EAST TAMPA DIALYSIS,102886,,,,1701 EAST 9TH AVENUE,,YBOR CITY,FL,33605,7,10,0%,52,0%,44,Achievement,10,97%,93,584,96%,536,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,68%,66,653,66%,565,Achievement,9,6%,66,587,8%,508,Achievement,8,10,10,10,10,95,No reduction,12/10/2009,DAVITA,10/12/2012
WESLEY CHAPEL DIALYSIS,102887,,,,27401 CASHFORD CIRCLE #102,,WESLEY CHAPEL,FL,33544,7,N/A,Insufficient data,7,Insufficient data,8,N/A,N/A,Insufficient data,N/A,2,Insufficient data,10,N/A,N/A,Insufficient data,N/A,54,88%,67,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,N/A,26,Insufficient data,27,N/A,N/A,Insufficient data,N/A,22,Insufficient data,30,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,03/22/2010,DAVITA,06/22/2012
GATEWAY DIALYSIS,102888,,,,5705 LEE BOULEVARD #16,,LEHIGH ACRES,FL,33971,7,10,0%,15,0%,41,Achievement,8,95%,37,182,90%,367,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,6,65%,19,165,60%,363,Achievement,8,7%,22,138,13%,249,Achievement,7,10,10,10,10,88,No reduction,03/24/2010,DAVITA,04/28/2011
PINELLAS WEST SHORE DIALYSIS,102889,,,,3451 66TH STREET NORTH,,SAINT PETERSBURG,FL,33710,7,10,0%,23,0%,24,Achievement,9,96%,40,236,97%,230,Achievement,N/A,Insufficient data,N/A,40,Insufficient data,37,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,75%,23,227,65%,221,Achievement,10,3%,25,200,6%,188,Achievement,10,10,10,10,10,98,No reduction,04/05/2010,DAVITA,07/06/2011
AVE MARIA DIALYSIS,102890,,,,5340 USEPPA DRIVE SUITE 101,,AVE MARIA,FL,34142,7,0,7%,13,0%,16,Achievement,10,98%,23,168,95%,192,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,54%,16,170,52%,202,Achievement,10,3%,20,163,3%,187,Achievement,7,10,10,10,10,68,No reduction,04/20/2010,DAVITA,07/01/2010
FMC - TRADITION,102891,,,,1748 SOUTHWEST STREET LUCIA WEST BOULEVARD,,PORT SAINT LUCIE,FL,34986,7,10,0%,25,0%,16,Achievement,0,68%,44,287,84%,213,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,9,74%,28,272,75%,206,Achievement,10,5%,29,242,8%,189,Achievement,10,10,10,10,10,75,No reduction,05/13/2010,FRESENIUS MEDICAL CARE,05/25/2011
PALM BREEZE DIALYSIS,102892,,,,14942 TAMIAMI TRAIL SUITE G,,NORTH PORT,FL,34287,7,10,0%,40,0%,32,Achievement,8,95%,68,374,95%,333,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,0,45%,49,413,53%,336,Achievement,5,14%,48,329,10%,279,Achievement,2,10,10,9,10,74,No reduction,04/02/2010,DAVITA,05/25/2011
FMC - THE GLADES,102893,,,,16740 SOUTHWEST 88TH STREET,,MIAMI,FL,33196,7,10,0%,23,0%,20,Achievement,9,95%,36,278,76%,232,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,83%,27,279,75%,235,Achievement,9,6%,29,258,7%,201,Achievement,9,10,10,10,10,95,No reduction,07/07/2010,FRESENIUS MEDICAL CARE,10/04/2010
KIDNEY KARE OUTPATIENT SERVICES,102894,,,,326 EAST DANIA BEACH BOULEVARD,,DANIA,FL,33004,7,10,0%,18,Insufficient data,10,Achievement,0,85%,28,186,84%,111,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,6,64%,21,197,56%,121,Achievement,0,32%,23,164,23%,90,Achievement,3,N/A,N/A,10,10,58,0.5%,07/07/2010,NOT A CHAIN,03/20/2014
FMC - CHIEFLAND,102895,,,,631 NORTHWEST 21ST AVENUE,,CHIEFLAND,FL,32626,7,N/A,Insufficient data,9,0%,15,N/A,9,96%,21,145,91%,161,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,3,52%,17,157,41%,170,Improvement,2,22%,21,145,28%,138,Improvement,2,10,10,10,10,66,No reduction,09/10/2010,FRESENIUS MEDICAL CARE,08/31/2011
FLORIDA DIALYSIS CENTER OF ORLANDO LLC,102896,,,,1711 35TH STREET #109,,ORLANDO,FL,32839,7,10,0%,80,0%,66,Achievement,9,96%,101,689,94%,528,Achievement,10,95%,19,153,95%,120,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,6,65%,82,759,63%,601,Achievement,7,10%,91,677,11%,501,Achievement,7,10,10,10,10,90,No reduction,10/11/2010,AMERICAN RENAL ASSOCIATES,11/21/2012
KENDALL KIDNEY CENTER,102897,,,,8364 MILLS DRIVE #1740,,MIAMI,FL,33183,7,2,4%,22,0%,29,Achievement,6,93%,38,215,96%,232,Achievement,N/A,Insufficient data,N/A,64,Insufficient data,60,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,9,72%,21,212,68%,235,Achievement,4,15%,26,210,10%,185,Achievement,6,10,10,10,10,60,No reduction,12/09/2010,DAVITA,06/18/2012
POINCIANA DIALYSIS,102898,,,,1002 CYPRESS PARKWAY,,POINCIANA,FL,34759,7,10,0%,49,0%,45,Achievement,10,97%,87,568,96%,515,Achievement,N/A,Insufficient data,N/A,16,Insufficient data,23,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,63%,55,586,58%,536,Achievement,9,6%,60,555,8%,463,Achievement,8,10,10,10,10,95,No reduction,02/14/2011,DAVITA,01/17/2012
ARA - NAPLES SOUTH DIALYSIS CENTER LLC,102899,,,,4270 TAMIAMI TRAIL EAST SUITE 1,,NAPLES,FL,34112,7,10,0%,35,0%,26,Achievement,10,97%,57,400,97%,297,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,63%,48,424,69%,302,Achievement,8,8%,50,352,10%,256,Achievement,7,10,10,10,10,93,No reduction,02/07/2011,AMERICAN RENAL ASSOCIATES,04/06/2011
ALL CHILDRENS HOSPITAL DIALYSIS,103300,102328,,,501 6TH AVENUE SOUTH,BOX 7860,SAINT PETERSBURG,FL,33701,7,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,6,N/A,N/A,Insufficient data,N/A,9,Insufficient data,5,N/A,N/A,Insufficient data,N/A,7,Insufficient data,27,N/A,N/A,N/A,Insufficient data,N/A,0,Insufficient data,7,N/A,N/A,Insufficient data,N/A,0,Insufficient data,4,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,09/27/1982,NOT A CHAIN,07/06/2012
MIAMI CHILDRENS HOSP DIALYSIS UNIT,103301,102336,,,6125 SOUTHWEST 31ST STREET,,MIAMI,FL,33155,7,N/A,Insufficient data,3,Insufficient data,2,N/A,N/A,Insufficient data,N/A,15,Insufficient data,18,N/A,N/A,Insufficient data,N/A,8,Insufficient data,41,N/A,N/A,Insufficient data,N/A,32,94%,85,N/A,N/A,N/A,Insufficient data,N/A,15,Insufficient data,22,N/A,N/A,Insufficient data,N/A,10,Insufficient data,19,N/A,N/A,10,8,10,10,No Score Calculated,No reduction,03/09/1992,NOT A CHAIN,04/28/2011
MAYO CLINIC OUTPATIENT DIALYSIS,103502,100151,,,5658 WORRALL WAY,,JACKSONVILLE,FL,32224,7,6,2%,59,2%,60,Achievement,0,85%,181,681,88%,626,Achievement,N/A,Insufficient data,N/A,48,Insufficient data,36,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,2,53%,68,631,47%,574,Achievement,0,26%,71,539,26%,378,Achievement,1,10,10,10,10,43,1.0%,01/02/2002,NOT A CHAIN,01/15/2014
SHANDS AT UNIV OF FL OUTPATIENT DIALYSIS,103503,,,,2409 SOUTHWEST ARCHER ROAD,,GAINESVILLE,FL,32608,7,8,1%,69,2%,65,Achievement,0,81%,94,740,95%,746,Achievement,N/A,Insufficient data,N/A,45,Insufficient data,41,N/A,N/A,Insufficient data,N/A,5,Insufficient data,0,N/A,0,2,51%,82,801,49%,814,Achievement,3,18%,82,714,20%,762,Achievement,3,10,9,10,10,52,0.5%,09/08/2007,NOT A CHAIN,03/05/2012
SOUTHWEST GEORGIA DIALYSIS,110038,112312,,,201 OLD ALBANY ROAD,,THOMASVILLE,GA,31792,6,10,0%,100,0%,102,Achievement,8,95%,130,968,95%,901,Achievement,1,63%,15,127,56%,149,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,59%,110,1168,58%,1133,Achievement,6,12%,116,1112,12%,1067,Achievement,5,10,10,10,10,80,No reduction,07/14/1980,NOT A CHAIN,05/16/2012
TIFT REGIONAL MEDICAL CENTER DIALYSIS CENTER,110095,112315,,,1010 EDGEFIELD DRIVE,,TIFTON,GA,31794,6,10,0%,71,0%,82,Achievement,10,99%,88,800,96%,920,Achievement,5,77%,25,208,80%,163,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,5,61%,77,836,60%,948,Achievement,6,11%,86,830,13%,916,Achievement,6,10,10,10,10,88,No reduction,09/01/1985,NOT A CHAIN,01/14/2014
CRISP REGIONAL HOSPITAL DIALYSIS UNIT,110104,112317,,,1302 NORTH 5TH STREET EXTENSION,,CORDELE,GA,31015,6,10,0%,50,0%,52,Achievement,2,88%,64,565,93%,618,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,3,54%,58,604,45%,642,Achievement,9,6%,64,559,4%,609,Achievement,6,10,10,10,10,70,No reduction,08/30/1988,NOT A CHAIN,03/15/2013
COLQUITT REGIONAL MEDICAL CENTER DIALYSIS,110105,112314,,,449 31ST AVENUE SOUTHEAST,,MOULTRIE,GA,31768,6,10,0%,52,0%,55,Achievement,5,92%,89,703,89%,657,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,3,56%,67,707,48%,692,Achievement,5,13%,69,665,17%,654,Achievement,4,10,10,10,8,71,No reduction,03/06/1986,NOT A CHAIN,01/22/2013
FMC OF AUGUSTA INC,112501,,,,1109 MEDICAL CENTER DRIVE,BUILDING H,AUGUSTA,GA,30909,6,10,0%,73,4%,74,Achievement,0,66%,95,813,80%,793,Achievement,9,93%,11,79,87%,87,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,2,52%,81,874,47%,857,Achievement,8,7%,85,846,12%,815,Achievement,5,10,10,8,10,64,No reduction,09/01/1976,FRESENIUS MEDICAL CARE,04/03/2011
BMA OF ATLANTA INC,112504,,,,1720 PHOENIX PARKWAY,,COLLEGE PARK,GA,30349,6,10,0%,32,0%,25,Achievement,4,90%,47,349,86%,345,Achievement,N/A,Insufficient data,N/A,20,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,4,10,76%,36,360,83%,345,Achievement,6,12%,39,331,8%,303,Achievement,8,10,10,4,10,76,No reduction,09/01/1976,FRESENIUS MEDICAL CARE,02/02/2007
ROME DIALYSIS,112505,,,,15 JOHN MADDOX DRIVE,,ROME,GA,30165,6,8,1%,68,0%,69,Achievement,7,94%,88,555,95%,562,Achievement,N/A,Insufficient data,N/A,65,Insufficient data,54,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,10,81%,84,816,78%,745,Achievement,10,2%,86,744,1%,672,Achievement,10,10,10,10,10,88,No reduction,09/01/1976,DAVITA,01/21/2010
COASTAL DIALYSIS CENTER,112507,,,,1460 EAST VICTORY DRIVE,,SAVANNAH,GA,31404,6,10,0%,92,0%,113,Achievement,4,86%,112,849,76%,1015,Improvement,7,86%,32,237,81%,241,Achievement,N/A,Insufficient data,N/A,1,Insufficient data,0,N/A,5,9,72%,88,914,66%,1073,Achievement,6,11%,95,859,15%,1015,Achievement,7,10,10,8,10,79,No reduction,09/01/1976,FRESENIUS MEDICAL CARE,04/30/2013
DCI ALBANY,112509,,,,337 FIFTH AVENUE,,ALBANY,GA,31701,6,8,1%,101,1%,98,Achievement,5,91%,127,1209,89%,1148,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,4,57%,113,1236,48%,1187,Achievement,10,3%,120,1182,7%,1098,Achievement,7,10,10,10,10,75,No reduction,09/01/1976,"DIALYSIS CLINIC, INC.",03/07/2013
BMA OF MARIETTA INC,112510,,,,1277 KENNESTONE CIRCLE,SUITE 600,MARIETTA,GA,30066,6,10,0%,63,1%,89,Achievement,9,96%,92,764,89%,818,Achievement,10,96%,27,179,92%,253,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,7,66%,76,772,53%,844,Achievement,10,5%,84,734,8%,801,Achievement,9,10,10,10,10,95,No reduction,09/01/1976,FRESENIUS MEDICAL CARE,02/25/2011
FMC OF DEKALB GWINNETT INC,112511,,,,497 WINN WAY SUITE 160,,DECATUR,GA,30030,6,10,0%,38,4%,49,Achievement,7,94%,63,484,88%,546,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,10,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,3,55%,46,482,53%,524,Achievement,6,12%,48,454,14%,500,Achievement,5,10,10,9,10,79,No reduction,09/01/1977,FRESENIUS MEDICAL CARE,01/21/2010
DCI CRAWFORD,112512,,,,240 PONCE DE LEON AVENUE NORTHEAST,,ATLANTA,GA,30308,6,10,0%,39,0%,59,Achievement,0,79%,49,220,88%,629,Achievement,N/A,Insufficient data,N/A,15,Insufficient data,34,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,4,56%,47,231,39%,662,Improvement,10,5%,51,237,13%,628,Achievement,7,N/A,0,10,10,59,0.5%,06/20/1977,"DIALYSIS CLINIC, INC.",01/14/2011
ATHENS WEST DIALYSIS,112513,,,,1747 LANGFORD DRIVE,BLDG 500,BOGART,GA,30622,6,10,0%,58,0%,52,Achievement,10,98%,79,708,97%,751,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,36%,68,749,28%,755,Improvement,6,11%,74,732,11%,724,Achievement,4,10,10,10,10,85,No reduction,07/18/1977,DAVITA,09/06/2013
BRUNSWICK DIALYSIS,112514,,,,53 SCRANTON CONNECTOR,,BRUNSWICK,GA,31525,6,10,0%,58,0%,69,Achievement,8,95%,66,471,96%,592,Achievement,10,99%,19,176,95%,173,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,8,70%,53,556,66%,680,Achievement,10,2%,60,539,4%,659,Achievement,9,10,10,10,10,93,No reduction,07/14/1977,DAVITA,01/21/2010
OAK STREET DIALYSIS,112515,,,,2704 NORTH OAK STREET BUILDING H,,VALDOSTA,GA,31602,6,10,0%,36,0%,34,Achievement,9,96%,51,367,95%,412,Achievement,N/A,Insufficient data,N/A,4,Insufficient data,16,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,4,57%,40,382,64%,409,Achievement,2,20%,45,361,19%,384,Achievement,3,10,10,10,10,80,No reduction,09/26/1977,DAVITA,12/15/2011
DSI MACON DIALYSIS,112516,,,,280 CLINTON STREET,,MACON,GA,31217,6,10,0%,41,2%,43,Achievement,10,98%,51,456,93%,468,Achievement,N/A,Insufficient data,N/A,40,Insufficient data,54,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,48%,43,479,58%,504,Achievement,5,14%,48,470,9%,482,Achievement,3,10,10,10,10,83,No reduction,11/02/1978,FRESENIUS MEDICAL CARE,08/20/2012
DAVITA JONESBORO DIALYSIS CENTER,112517,,,,129 KING STREET,,JONESBORO,GA,30236,6,10,0%,65,0%,71,Achievement,8,95%,88,644,91%,655,Achievement,7,85%,20,166,84%,164,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,3,55%,62,648,53%,634,Achievement,10,5%,70,620,6%,614,Achievement,7,10,10,10,10,88,No reduction,04/09/1979,DAVITA,05/15/2007
