"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"142719","10","WEST LAWN DIALYSIS","7000-C S. PULASKI","","CHICAGO","IL","60629","COOK","(773) 284-5324","Profit","Yes","DAVITA","0","12","1","0","0","2011-03-17 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","8","001","0","001","25","1.32","3.8","0.51","001","As Expected","32","100","001","75","001","","257","","254","28","111","360","0","0","0","0","66","001","11","001","117","388","001","31","215","1","32","231","001","18","38","37","6","2","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.74","2.26","0.45","0.31","As Expected","001","As Expected","001","38","68","0.86","0.97"
"142720","10","DAVITA - KENWOOD PD","5841 S MARYLAND AVE  ROOM L-026","","CHICAGO","IL","60637","COOK","(773) 924-5948","Profit","Yes","DAVITA","0","1","1","1","1","2010-08-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","41","001","0","001","22","0.83","3.3","0.24","001","As Expected","34","","201","","201","90","001","","201","0","0","0","25","131","0","0","","199","","199","8","40","201","0","0","","0","0","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.41","2.03","0.24","0.6","As Expected","001","As Expected","001","41","157","0.56","1.16"
"142721","10","DAVITA - WOODLAWN DIALYSIS","5060 S STATE ST","","CHICAGO","IL","60609","COOK","(773) 924-2149","Profit","Yes","DAVITA","0","20","1","0","0","2010-08-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","18","001","0","001","132","1.26","2.38","0.71","001","As Expected","118","99","001","76","001","","257","","254","147","175","1385","0","0","0","0","60","001","12","001","180","1436","001","134","1006","1","134","1010","001","16","37","40","5","2","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.69","1.5","0.67","0.77","As Expected","001","As Expected","001","151","480","1.04","1.09"
"142722","10","FMC - LOMBARD DIALYSIS","1940 SPRINGER DRIVE","","LOMBARD","IL","60148","DU PAGE","(630) 693-0394","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","1","1","2011-05-02 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","16","001","0","001","25","0.28","3.64","0.03","001","As Expected","34","86","001","65","001","","199","","254","22","42","255","10","66","0","0","61","001","19","001","51","306","001","29","207","3","33","227","001","5","32","33","22","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","2","2.12","0.6","0.41","As Expected","001","As Expected","001","45","86","1.06","1.03"
"142723","10","FMC - PALATINE DIALYSIS CENTER","691 EAST DUNDEE ROAD","","PALATINE","IL","60074","COOK","(847) 963-4299","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","1","1","2011-06-09 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","4","001","4","001","26","0","1.34","0","001","As Expected","29","96","001","75","001","","199","","254","24","35","267","8","31","0","0","72","001","16","001","41","307","001","43","259","2","46","289","001","8","21","28","30","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.59","0.94","0.3","0","As Expected","001","Better than Expected","001","36","64","0.66","0.17"
"142724","10","LAKEVIEW HOME DIALYSIS","3023 NORTH ASHLAND AVE.","","CHICAGO","IL","60657","COOK","(773) 525-3053","Profit","Yes","INDEPENDENT","0","0","1","1","0","2011-06-21 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","2","","","","199","","5","","256","","256","","199","","254","0","0","0","7","34","0","0","","256","","256","0","0","199","7","24","","7","26","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","8","27","",""
"142725","10","FMC - STEGER DIALYSIS","219 E. 34TH STREET","","STEGER","IL","60475","COOK","(708) 754-3770","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","0","0","2011-07-19 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","6","001","0","001","33","0.28","3.67","0.03","001","As Expected","35","100","001","87","001","","257","","254","37","57","388","0","0","0","0","53","001","16","001","64","451","001","47","337","8","50","359","001","12","29","30","21","9","01/01/2009-12/31/2012","01/01/2012-12/31/2012","2.4","2.28","0.81","0.38","As Expected","001","As Expected","001","50","73","1.36","1.05"
"142726","10","FMC OF ELGIN","2130 POINT BLVD. SUITE 800","","ELGIN","IL","60123","KANE","(847) 428-3605","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","1","0","2011-08-31 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","14","001","0","001","22","","","","199","","19","100","001","78","001","","199","","254","21","41","238","1","8","0","0","51","001","25","001","49","266","001","29","194","4","31","213","001","9","32","26","24","9","01/01/2009-12/31/2012","01/01/2012-12/31/2012","4.36","1.64","1.27","0.06","Worse than Expected","001","As Expected","001","22","57","2.29","0.46"
"142727","10","FMC - WAUKEGAN HARBOR","110 N. WEST STREET","","WAUKEGAN","IL","60085","LAKE","(847) 599-1346","Profit","Yes","FRESENIUS MEDICAL CARE","0","21","1","1","0","2011-10-17 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","8","001","0","001","26","","","","199","","22","100","001","89","001","","199","","254","25","43","256","1","3","0","0","57","001","11","001","49","301","001","33","200","2","39","226","001","8","26","33","20","14","01/01/2009-12/31/2012","01/01/2012-12/31/2012","3.52","","0.98","","As Expected","001","Not Available","199","30","35","1.8",""
"142728","10","DAVITA - GRAND CROSSING DIALYSIS","7319 S. COTTAGE GROVE AVE.","","CHICAGO","IL","60619","COOK","(773) 783-3491","Profit","Yes","DAVITA","0","12","1","0","0","2011-11-28 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","40","001","0","001","42","2.03","6.09","0.75","001","As Expected","40","100","001","83","001","","257","","254","44","86","403","0","0","0","0","58","001","9","001","88","439","001","57","311","1","58","328","001","22","33","37","3","4","01/01/2009-12/31/2012","01/01/2012-12/31/2012","3.19","","1.02","","Worse than Expected","001","Not Available","199","51","70","1.76",""
"142729","10","FMC - WEST BATAVIA","2580 WEST FABYAN PARKWAY","","BATAVIA","IL","60510","KANE","(630) 406-1690","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","1","0","2012-05-04 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","8","","","","199","","5","","199","88","001","","199","","254","6","21","83","1","8","0","0","61","001","11","001","22","100","001","15","81","1","18","101","001","9","18","27","32","15","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","8","15","",""
"142730","10","FMC - WEST WILLOW","1444 W. WILLOW ST.","","CHICAGO","IL","60642","COOK","(773) 772-4079","Profit","Yes","FRESENIUS MEDICAL CARE","0","12","1","0","0","2011-11-27 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","5","","","","199","","5","","199","77","001","","257","","254","7","20","82","0","0","0","0","19","001","16","001","27","113","255","17","93","","19","107","001","3","21","33","36","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","9","15","",""
"142731","10","FMC - MUNDELEIN","1402 TOWNLINE ROAD","","MUNDELEIN","IL","60060","LAKE","(847) 949-3904","Profit","Yes","FRESENIUS MEDICAL CARE","0","16","1","0","0","2012-02-02 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","8","","","","199","","7","","199","77","001","","257","","254","7","16","77","0","0","0","0","49","001","17","001","22","103","001","14","82","6","16","92","001","2","34","25","27","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","7","8","",""
"142732","10","DAVITA - PALOS PARK DIALYSIS","13155 S. LAGRANGE ROAD","","ORLAND PARK","IL","60462","COOK","(708) 923-0928","Profit","Yes","DAVITA","0","12","1","0","0","2012-05-11 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","7","","","","199","","6","","199","88","001","","257","","254","8","17","76","0","0","0","0","61","001","13","001","20","88","001","12","55","0","14","64","001","11","41","27","14","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","10","12","",""
"142733","10","DAVITA - SPRINGFIELD SOUTH DIALYSIS","2930 SOUTH 6TH ST.","","SPRINGFIELD","IL","62703","SANGAMON","(217) 528-1745","Profit","Yes","DAVITA","0","12","1","1","1","2012-06-15 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","37","001","0","001","30","0.95","5.91","0.18","001","As Expected","41","","199","79","001","94","001","","254","9","23","76","37","236","0","0","63","001","9","001","34","166","001","47","301","1","49","310","001","12","31","35","16","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","2.29","","0.3","","As Expected","001","Not Available","199","48","54","0.79",""
"142734","10","DAVITA - DANVILLE AT HOME","3 POLAND ROAD","","DANVILLE","IL","61832","VERMILION","(217) 443-3350","Profit","Yes","DAVITA","0","0","1","1","1","2012-08-03 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","3","","","","199","","3","","201","","201","","199","","254","0","0","0","6","25","0","0","","199","","199","3","12","199","10","49","","11","55","001","0","13","25","53","9","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","5","9","",""
"142735","10","FMC - RIVER FOREST DIALYSIS","103 FOREST AVENUE","","RIVER FOREST","IL","60305","COOK","(708) 488-9258","Profit","Yes","FRESENIUS MEDICAL CARE","0","20","1","1","1","2012-08-22 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","13","001","2","001","52","","","","199","","52","94","001","62","001","48","001","","254","49","77","366","11","54","0","0","61","001","12","001","81","400","001","77","365","4","86","395","001","11","22","28","27","13","01/01/2009-12/31/2012","01/01/2012-12/31/2012","3.78","","0.25","","As Expected","001","Not Available","199","65","84","0.91",""
"142736","10","DAVITA - BARRINGTON CREEK","28160 W. NORTHWEST HWY, SUITE 104","","LAKE BARRINGTON","IL","60010","LAKE","(847) 381-1325","Profit","Yes","DAVITA","0","12","1","1","1","2012-08-27 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","2","","","","199","","3","","199","","199","","199","","254","2","6","20","1","4","0","0","","199","","199","6","20","199","2","10","","3","12","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","3","3","",""
"142737","10","ARA - MCHENRY DIALYSIS CENTER","4209 W. SHAMROCK LANE, UNIT A","","MCHENRY","IL","60050","MCHENRY","(815) 344-8512","Profit","Yes","AMERICAN RENAL ASSOCIATES","0","13","1","0","0","2012-09-26 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","4","","","","199","","1","","199","90","001","","257","","254","7","13","51","0","0","0","0","44","001","25","001","17","68","001","12","36","0","17","50","001","4","34","38","16","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","1","1","",""
"142738","10","U.S. RENAL CARE - STREAMWOOD DIALYSIS","149 IRVING PARK","","STREAMWOOD","IL","60107","COOK","(630) 289-2104","Profit","Yes","US RENAL CARE, INC.","0","13","1","0","0","2012-09-24 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","8","","","","199","","7","","199","93","001","","257","","254","8","14","60","0","0","0","0","51","001","17","001","15","65","001","15","72","10","17","76","001","7","21","37","21","14","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","8","11","",""
"142739","10","FMC-JOLIET","721 EAST JACKSON STREET","","JOLIET","IL","60432","WILL","(815) 726-8619","Profit","Yes","FRESENIUS MEDICAL CARE","0","16","1","1","0","2012-05-21 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","9","","","","199","","0","","199","78","001","","257","","254","8","26","76","0","0","0","0","48","001","25","001","27","81","001","24","58","0","28","73","001","14","45","23","15","3","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","201","Not Available","201","0","0","",""
"142740","10","DAVITA MORRIS DIALYSIS","1551 CREEK DRIVE","","MORRIS","IL","60450","GRUNDY","(815) 416-0475","Profit","Yes","DAVITA","0","9","1","0","0","2012-11-27 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","22","001","0","001","18","","","","199","","9","100","001","79","001","","257","","254","23","32","182","0","0","0","0","47","001","21","001","33","197","199","4","11","","4","11","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","10","10","",""
"142741","10","DAVITA RENAL CARE CENTER NEW LENOX","1890 SILVER CROSS BLVD","","NEW LENOX","IL","60451","WILL","(815) 300-7144","Non-Profit","No","DAVITA","0","19","1","0","0","2012-11-27 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","20","001","0","001","56","","","","199","","31","92","001","78","001","","257","","254","63","90","561","0","0","0","0","49","001","26","001","99","627","199","4","9","","4","9","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","3.12","","0.59","","As Expected","001","Not Available","199","36","36","1.3",""
"142742","10","DAVITA RENAL CENTER WEST JOLIET","1051 ESSINGTON ROAD SUITE 160","","JOLIET","IL","60435","WILL","(815) 725-3275","Profit","Yes","DAVITA","0","29","1","1","0","2012-11-27 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","7","001","0","001","122","","","","199","","40","97","001","82","001","78","001","","254","115","151","1025","15","98","0","0","61","001","13","001","160","1115","199","10","16","","10","16","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","2.91","","0.64","","As Expected","001","Not Available","199","51","52","1.32",""
"142743","10","VILLA PARK HOME DIALYSIS","1634 S ARDMORE AVE  SUITE 200","","VILLA PARK","IL","60181","DU PAGE","(630) 620-1233","Profit","Yes","INDEPENDENT","0","0","1","1","0","2012-12-13 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","201","","201","0","","","","199","","0","","256","","256","","199","","254","0","0","0","2","4","0","0","","256","","256","0","0","201","0","0","","0","0","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","201","Not Available","201","0","0","",""
"142744","10","FMC - CHATHAM","8710 S. HOLLAND RD","","CHICAGO","IL","60620","COOK","(773) 723-2536","Profit","Yes","FRESENIUS MEDICAL CARE","0","16","1","0","0","2012-12-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","1","","","","199","","0","","201","79","001","","257","","254","0","17","43","0","0","0","0","69","001","11","001","18","45","199","4","12","","4","12","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","201","Not Available","201","0","0","",""
"142745","10","HOME DIALYSIS SERVICES, LLC","14146 S. BELL RD.","","HOMER GLEN","IL","60491","WILL","(708) 645-1000","Profit","Yes","INDEPENDENT","0","0","1","1","0","2012-10-23 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","201","","201","0","","","","199","","0","","256","","256","","201","","254","0","0","0","0","0","0","0","","256","","256","0","0","201","0","0","","0","0","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","201","Not Available","201","0","0","",""
"142746","10","SATELLITE DIALYSIS GLENVIEW","2601 COMPASS ROAD SUITE 145","","GLENVIEW","IL","60026","COOK","(847) 832-0001","Non-Profit","No","SATELLITE HEALTHCARE","0","16","1","0","0","2012-12-21 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","199","","199","2","","","","199","","1","","199","","199","","257","","254","2","8","25","0","0","0","0","43","001","11","001","13","44","199","10","23","","14","37","001","5","38","27","22","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","199","Not Available","199","1","1","",""
"142747","10","DAVITA - DRIFTWOOD DIALYSIS","1808 S WEST AVE","","FREEPORT","IL","61032","STEPHENSON","(815) 232-0295","Profit","Yes","DAVITA","0","12","1","0","0","2012-10-15 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","201","","201","0","","","","199","","0","","201","67","001","","199","","254","0","27","63","9","25","0","0","69","001","7","001","30","71","199","7","14","","7","14","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","201","Not Available","201","0","0","",""
"142748","10","DAVITA - CRIMSON RIDGE","2540 HAUSER ROSS DRIVE","","SYCAMORE","IL","60178","DEKALB","(815) 748-3508","Profit","Yes","DAVITA","0","0","1","1","1","2013-03-20 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","201","","201","0","","","","258","","0","","201","","201","","201","","254","0","0","0","0","0","0","0","","199","","199","1","3","001","17","34","0","17","34","001","9","38","18","12","24","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","0","0","",""
"142749","10","USRC - BOLINGBROOK","396 REMINGTON BLVD., SUITE 110","","BOLINGBROOK","IL","60440","WILL","(630) 495-8271","Profit","Yes","US RENAL CARE, INC.","0","13","1","1","1","2013-01-07 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","201","","201","0","","","","258","","0","","201","81","001","","199","","254","0","15","31","5","15","0","0","35","001","35","001","17","37","199","10","20","","10","23","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","0","0","",""
"142750","10","USRC - OAKBROOK, LLC","1201 B BUTTERFIELD ROAD","","DOWNERS GROVE","IL","60515","DU PAGE","(630) 968-0306","Profit","Yes","US RENAL CARE, INC.","0","14","1","0","0","2013-04-23 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","258","","0","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","0","0","",""
"142751","10","USRC ADVANCED HOME THERAPIES, LLC","1201-A  BUTTERFIELD ROAD","","DOWNERS GROVE","IL","60515","DU PAGE","(630) 968-0649","Profit","Yes","US RENAL CARE, INC.","0","4","1","1","1","2013-05-02 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","258","","0","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","0","0","",""
"142752","10","AFFILIATED DIALYSIS OF GLEN ELLYN","800 ROOSEVELT RD STE C-16","","GLEN ELLYN","IL","60137","DU PAGE","(639) 942-1111","Profit","Yes","INDEPENDENT","0","1","1","1","1","2013-05-17 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142753","10","SHILOH DIALYSIS","1095 NORTH GREEN MOUNT RD","","BELLEVILLE","IL","62221","SAINT CLAIR","(618) 628-1108","Profit","Yes","DAVITA","0","12","1","1","1","2013-08-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142754","10","FMC - CICERO","3000 S CICERO AVE","","CICERO","IL","60804","COOK","(708) 652-7089","Profit","Yes","FRESENIUS MEDICAL CARE","0","16","1","0","0","2013-07-23 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142755","10","US RENAL CARE VILLA PARK DIALYSIS","200 E. NORTH AVENUE","","VILLA PARK","IL","60181","DU PAGE","(630) 530-5237","Profit","Yes","US RENAL CARE, INC.","0","13","1","0","0","2013-08-06 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142756","10","FMC SOUTH DEERING DIALYSIS","10559 S TORRENCE AVE","","CHICAGO","IL","60617","COOK","(773) 768-7100","Profit","Yes","FRESENIUS MEDICAL CARE","0","21","1","0","0","2013-08-20 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142757","10","DAVITA - SILVERBRIDGE HOME TRAINING","2410 ALFT LANE","","ELGIN","IL","60124","KANE","(847) 289-5628","Profit","Yes","DAVITA","0","4","1","1","1","2013-08-29 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142758","10","SAH DIALYSIS CLINIC @26TH ST","3059 W 26TH ST","","CHICAGO","IL","60623","COOK","(773) 696-9470","Non-Profit","No","INDEPENDENT","0","15","1","0","0","2013-08-29 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142759","10","IROQUOIS KIDNEY CENTER","2009 S FIFTH ST","","WATSEKA","IL","60970","IROQUOIS","(815) 432-4300","Profit","Yes","INDEPENDENT","0","0","1","1","1","2013-08-29 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142760","10","HOME DIALYSIS SERVICES - CRYSTAL LAKE","650 E TERRA COTTA AVE SUITE 103","","CRYSTAL LAKE","IL","60014","MCHENRY","(779) 220-4395","Profit","Yes","INDEPENDENT DIALYSIS FOUNDATION (IDF)","0","0","1","1","0","2013-09-30 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
"142761","10","HOME DIALYSIS SEVICES - HICKORY HILLS","7831 W 95TH ST STE CNE","","HICKORY HILLS","IL","60457","COOK","(630) 965-9007","Profit","Yes","INDEPENDENT DIALYSIS FOUNDATION (IDF)","0","0","1","1","0","2013-09-27 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","","258","","258","","","","","001","","","","258","","258","","258","","258","","","","","","","","","258","","258","","","258","","","","","","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","","","","","Not Available","258","Not Available","258","","","",""
