provnum	network	facname	phyaddr1	phyaddr2	phycity	phystate	phyzip	phonenum	shift	chainyn	chainnam	owntype	certdate	totstas	HD	PD	homehd	PURR_F	urrg65_f	URRG65_C	urrg65_u	urrg65_s	hctrd_f	hctg33_f	HCTG33_C	hctg33_u	hctg33_s	DATEURHT	PTSURV_F	PTSURV_C	ptsurvu1	ptsurvu2	ptsurvu3	ptsurvs1	ptsurvs2	ptsurvs3	DATESMR	CNTYNAME
042580	13	DIALYSIS CENTER OF SILOAM SPRINGS	2125 E MAIN STE 12		SILOAM SPRINGS	AR	72761	4795245214	N	N	INDEPENDENT	1	26FEB2007	11	Y	N	N			258	92	88			258	92	84	2005		258	100	4013	174	0	47	7	2002-2005	BENTON
043501	13	ST BERNARDS-WYNNE	310 S FALLS BLVD	PO BOX 590	WYNNE	AR	72396	8702081170	N	N	INDEPENDENT	1	21SEP2001	6	Y	N	N	16	94	001	92	88	16	94	001	92	84	2005	2	001	100	4013	174	0	47	7	2002-2005	CROSS
050007	17	MILLS DIALYSIS CENTER	100 S. SAN MATEO DRIVE		SAN MATEO	CA	94401	6506964931	N	N	INDEPENDENT	2	01JAN1997	19	Y	Y	N	54	100	001	92	91	62	92	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN MATEO
050008	17	CPMC DAVIES CAMPUS	45 CASTRO STREET	DIALYSIS UNIT - SOUTH TOWER  2ND FLOOR	SAN FRANCISCO	CA	94114	4156005075	Y	N	INDEPENDENT	2	01AUG1977	16	Y	N	N	67	85	001	92	91	69	93	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN FRANCISCO
050038	17	SANTA CLARA VALLEY RENAL CARE CENTER	2220 MOORPARK AVENUE		SAN JOSE	CA	95128	4088855730	Y	N	INDEPENDENT	2	22AUG1977	25	Y	Y	N	113	83	001	92	91	134	90	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CLARA
050047	17	CALIFORNIA PACIFIC MC DIALYSIS	2333 BUCHANAN STREET		SAN FRANCISCO	CA	94120	4156003258	Y	N	INDEPENDENT	2	18AUG1977	30	Y	Y	N	125	81	001	92	91	145	92	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN FRANCISCO
050069	18	ST. JOSEPH HOSPITAL RENAL CENTER	SR. ELIZABETH BLDG.	1100 W. STEWART DRIVE	ORANGE	CA	92868	7147718037	Y	N	INDEPENDENT	2	15AUG1977	41	Y	Y	Y	132	89	001	92	91	123	94	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
050071	17	KAISER PERMANENTE - SANTA CLARA	710 LAWRENCE EXPRESSWAY #460		SANTA CLARA	CA	95051	4088514560	N	Y	REGIONAL-KAISER PERMANENTE	2	20JUN1996	0	N	Y	N			256	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CLARA
050076	17	KAISER HOSPITAL HEMODIALYSIS	2425 GEARY BLVD  ROOM 1251		SAN FRANCISCO	CA	94115	4158333430	N	Y	REGIONAL-KAISER PERMANENTE	2	05APR1977	7	Y	N	N			201	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN FRANCISCO
050138	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.- SUNSET	DIALYSIS UNIT	4700 SUNSET BLVD., 2ND FLOOR	LOS ANGELES	CA	90027	3237834479	N	Y	REGIONAL-KAISER PERMANENTE	2	25JUL1977	28	Y	Y	Y			201	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
050139	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.- BELLFLOWER	DIALYSIS UNIT- MODULE 3700, NEPHROLOGY	9400 E. ROSECRANS AVENUE	BELLFLOWER	CA	90706	5624616111	N	Y	REGIONAL-KAISER PERMANENTE	2	01DEC1994	4	Y	Y	N			201	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
050140	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.- FONTANA	PERITONEAL DIALYSIS UNIT- BUILDING 7 MEDICAL SOCIAL SERVICES	9985 SIERRA AVENUE MOB-3	FONTANA	CA	92335	9094274253	N	Y	REGIONAL-KAISER PERMANENTE	2	24JUL1991	4	N	Y	N			256	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
050167	17	SAN JOAQUIN GENERAL HOSPITAL	7783 SOUTH FREEDOM ROAD		FRENCH CAMP	CA	95231	2094686085	Y	N	INDEPENDENT	2	03AUG1977	11	Y	N	N	71	96	001	92	91	78	88	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN JOAQUIN
050245	18	ARROWHEAD REGIONAL MEDICAL CENTER	400 N. PEPPER AVENUE		COLTON	CA	92324	9095803911	N	N	INDEPENDENT	2	28APR2006	8	Y	Y	N			258	92	91			258	92	92	2005		258	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
050308	17	EL CAMINO DIALYSIS CENTER	2490 GRANT ROAD	OAK PAVILLION 110	MOUNTAIN VIEW	CA	94040	6509407015	Y	N	INDEPENDENT	2	12AUG1977	25	Y	Y	Y	102	91	001	92	91	109	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CLARA
050327	18	LOMA LINDA UNIVERSITY MEDICAL CENTER	HEMODIALYSIS UNIT	11234 ANDERSON ST., RM. 4219	LOMA LINDA	CA	92354	9095584642	N	N	INDEPENDENT	2	11AUG1977	7	Y	Y	N	14	100	001	92	91	16	94	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
050376	18	LAC HARBOR-UCLA MEDICAL CENTER	BOX 429 (HEMODIALYSIS)	1000 W. CARSON STREET,	TORRANCE	CA	90509	3102222462	N	N	INDEPENDENT	2	18JUL1977	5	Y	N	N			201	92	91			201	92	92	2005		199	100	4013	174	12	364	10	2002-2005	LOS ANGELES
050512	17	KAISER HOSPITAL ESRD PD UNIT	27303 SLEEPY HOLLOW		HAYWARD	CA	94545	5107842079	N	Y	REGIONAL-KAISER PERMANENTE	2	18MAR2005	4	Y	Y	N			201	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ALAMEDA
050561	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.-WEST LOS ANGELES	DIALYSIS	6041 CADILLAC AVENUE, SUITE 2-WEST	LOS ANGELES	CA	90034	3238573245	N	Y	REGIONAL-KAISER PERMANENTE	2	26APR1993	3	N	Y	N			256	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
050609	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ANAHEIM	PERITONEAL DIALYSIS UNIT	22550 E. SAVI RANCH PARKWAY	YORBA LINDA	CA	92887	7146853785	N	Y	REGIONAL-KAISER PERMANENTE	2	30NOV1999	1	N	Y	N			256	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
050677	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WOODLAND HILLS	PERITONEAL UNIT	5601 DE SOTO AVENUE	WOODLAND HILLS	CA	91365	8187193610	N	Y	REGIONAL-KAISER PERMANENTE	2	02OCT1991	2	N	Y	N			256	92	91			201	92	92	2005	1	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
050686	18	KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE	PERINOTEAL DIALYSIS UNIT	10800 MAGNOLIA AVENUE, MODULE 1X	RIVERSIDE	CA	92505	9513534887	N	Y	REGIONAL-KAISER PERMANENTE	2	25NOV1992	4	N	Y	N			256	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	RIVERSIDE
052500	18	FMC-HILLCREST DIALYSIS	3960 THIRD AVENUE		SAN DIEGO	CA	92103	6192993900	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	11AUG1977	20	Y	N	N	50	100	001	92	91	51	90	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN DIEGO
052502	18	DAVITA-KIDNEY DIALYSIS CARE UNIT	3600 E. MARTIN LUTHER KING JR. BLVD.		LYNWOOD	CA	90262	3106396320	Y	Y	DAVITA	1	14DEC1977	32	Y	Y	N	96	96	001	92	91	106	96	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052503	18	DAVITA-MAIN PLACE DIALYSIS CENTER	972 TOWN & COUNTRY ROAD		ORANGE	CA	92868	7148360155	N	Y	DAVITA	1	17AUG1977	21	Y	Y	N	71	89	001	92	91	73	95	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
052505	18	FULLERTON DIALYSIS	238 ORANGEFAIR MALL AVENUE		FULLERTON	CA	92832	7144473045	N	Y	DAVITA	1	27SEP1993	25	Y	N	N	64	88	001	92	91	68	96	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
052507	17	RAI HAIGHT	1800 HAIGHT STREET		SAN FRANCISCO	CA	94117	4157529886	Y	Y	RENAL ADVANTAGE, INC.	1	08AUG1977	21	Y	N	N	60	88	001	92	91	58	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN FRANCISCO
052513	18	FMC-SANTA BARBARA COMMUNITY DIALYSIS CENTER	222 PESETAS LANE		SANTA BARBARA	CA	93110	8059647873	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	29AUG1978	14	Y	Y	N	14	93	001	92	91	14	86	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA BARBARA
052514	17	SATELLITE DIALYSIS CUPERTINO	10596 N TANTAU AVENUE		CUPERTINO	CA	95014	4085175777	Y	Y	REGIONAL-SATELLITE HEALTHCARE	2	10AUG1977	16	Y	N	N	41	100	001	92	91	38	95	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CLARA
052515	18	LOS ALAMITOS HEMODIALYSIS CENTER	3810 KATELLA AVENUE		LOS ALAMITOS	CA	90720	5625989527	N	N	INDEPENDENT	1	15AUG1977	32	Y	N	N	74	91	001	92	91	71	99	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
052521	18	ANTELOPE VALLEY DIALYSIS CENTER	1759 WEST AVENUE J, SUITE 102		LANCASTER	CA	93534	6619426400	N	N	INDEPENDENT	1	04AUG1977	30	Y	Y	N	74	77	001	92	91	72	68	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052522	18	MOBILE DIALYSIS SERVICES, INC. (COMPTON)	801 W. COMPTON BLVD.		COMPTON	CA	90220	3106379026	N	N	INDEPENDENT	1	01SEP1976	36	Y	N	N	32	84	001	92	91	37	95	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052523	18	FMC-LONG BEACH	440 W. OCEAN BLVD.		LONG BEACH	CA	90802	5624324444	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05AUG1977	16	Y	N	N	34	82	001	92	91	32	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052524	17	BMA SANTA ROSA	1020 SECOND STREET		SANTA ROSA	CA	95404	7075275350	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	18AUG1977	16	Y	Y	N	50	86	001	92	91	57	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SONOMA
052525	18	ESCONDIDO DIALYSIS	203 E. SECOND AVENUE		ESCONDIDO	CA	92025	7607434401	N	Y	DAVITA	1	22APR1977	19	Y	Y	Y	54	91	001	92	91	57	88	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN DIEGO
052526	17	SATELLITE DIALYSIS	565 SIR FRANCIS DRAKE BLVD.		GREENBRAE	CA	94904	4159248622	N	Y	REGIONAL-SATELLITE HEALTHCARE	2	18AUG1977	23	Y	N	N	68	100	001	92	91	77	99	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	MARIN
052528	17	REDDING DIALYSIS CENTER	1876 PARK MARINA DRIVE		REDDING	CA	96001	5302467474	Y	Y	DAVITA	1	20AUG1977	28	Y	Y	Y	97	89	001	92	91	118	96	001	92	92	2005	3	001	100	4013	174	12	364	10	2002-2005	SHASTA
052531	17	SATELLITE DIALYSIS	1329 SPANOS CT. BLDG. D		MODESTO	CA	95355	2095780691	Y	Y	REGIONAL-SATELLITE HEALTHCARE	2	10AUG1977	25	Y	N	N	89	97	001	92	91	91	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	STANISLAUS
052532	18	DAVITA-RIVERSIDE DIALYSIS CENTER	4361 LATHAM STREET, SUITE 100		RIVERSIDE	CA	92501	9516822700	Y	Y	DAVITA	1	02NOV1978	32	Y	Y	N	143	95	001	92	91	164	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	RIVERSIDE
052534	17	FMC OAKLAND	3012 SUMMIT STREET 6TH FLOOR		OAKLAND	CA	94609	5108932060	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	15AUG1977	25	Y	N	N	62	94	001	92	91	69	87	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ALAMEDA
052536	18	FMC-NATIONAL CITY DIALYSIS CENTER	303 W. 26TH STREET		NATIONAL CITY	CA	91950	6194748151	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01JAN1991	22	Y	N	N	54	96	001	92	91	58	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN DIEGO
052538	18	INGLEWOOD DIALYSIS	125 E. ARBOR VITAE		INGLEWOOD	CA	90301	3106776114	N	Y	DAVITA	1	15AUG1977	41	Y	N	N	98	86	001	92	91	99	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052539	18	DAVITA-LAKEWOOD DIALYSIS CENTER	4645 SILVA STREET		LAKEWOOD	CA	90712	5626337441	Y	Y	DAVITA	1	11JUL1978	28	Y	N	N	90	96	001	92	91	96	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052541	18	PALM SPRINGS DIALYSIS	1061 N. INDIAN CANYON DRIVE		PALM SPRINGS	CA	92262	7603250909	N	Y	DAVITA	1	18OCT1976	20	Y	Y	N	61	80	001	92	91	68	94	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	RIVERSIDE
052543	17	BMA EUREKA	2765 TIMBER RIDGE LANE		EUREKA	CA	95503	7074452033	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	17AUG1977	15	Y	Y	N	67	96	001	92	91	73	93	001	92	92	2005	1	001	100	4013	174	12	364	10	2002-2005	HUMBOLDT
052544	18	FMC-CULVER CITY DIALYSIS	9432 VENICE BLVD.		CULVER CITY	CA	90230	3108362237	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	14AUG1977	24	Y	Y	N	55	96	001	92	91	57	95	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052545	18	KIDNEY DIALYSIS CENTER OF NORTHRIDGE, LLC	18546 ROSCOE BLVD., SUITE 108		NORTHRIDGE	CA	91328	8188863771	Y	Y	REGIONAL-KIDNEY CENTER, INC.	1	15AUG1977	24	Y	N	N	72	88	001	92	91	74	85	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052546	17	GAMBRO HEALTHCARE OF DALY CITY	1498 SOUTHGATE AVENUE		DALY CITY	CA	94015	6507554751	Y	Y	GAMBRO HEALTHCARE	1	31AUG1977	34	Y	Y	Y	102	87	001	92	91	122	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN MATEO
052549	18	FMC-BURBANK	2031 ALAMEDA AVENUE, SUITE 202		BURBANK	CA	91506	8188453830	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	30AUG1977	21	Y	Y	N	44	95	001	92	91			201	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052550	18	LOMA LINDA UNIVERSITY KIDNEY CENTER	11375 ANDERSON STREET		LOMA LINDA	CA	92354	9095584225	Y	N	INDEPENDENT	2	02DEC1977	20	Y	Y	Y	96	97	001	92	91	114	85	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
052552	18	UPLAND DIALYSIS	600 N. 13TH AVENUE		UPLAND	CA	91786	9099463802	N	Y	DAVITA	1	28APR1978	24	Y	Y	N	75	99	001	92	91	103	94	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
052553	17	CHICO DIALYSIS CENTER	530 COHASSET ROAD		CHICO	CA	95926	5308958966	N	Y	DAVITA	1	22AUG1978	20	Y	Y	N	78	95	001	92	91	97	96	001	92	92	2005	1	001	100	4013	174	12	364	10	2002-2005	BUTTE
052554	18	DAVITA-VALLEY DIALYSIS CENTER	16149 HART STREET		VAN NUYS	CA	91406	8187870990	Y	Y	DAVITA	1	01DEC1978	23	Y	N	Y	69	96	001	92	91	75	93	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052555	17	SATELLITE DIALYSIS	2128 SOQUEL AVENUE		SANTA CRUZ	CA	95062	8314250727	N	Y	REGIONAL-SATELLITE HEALTHCARE	2	26JAN1979	20	Y	N	N	56	100	001	92	91	63	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CRUZ
052556	18	SKYPARK DIALYSIS	3295 SKYPARK DRIVE		TORRANCE	CA	90505	3105395091	N	Y	REGIONAL-PACIFIC SOUTH BAY DIALYSIS INC	1	27DEC1978	12	Y	N	N	51	86	001	92	91	48	88	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052558	18	HOLY CROSS RENAL CENTER	14901 RINALDI STREET, SUITE 100		MISSION HILLS	CA	91345	8183656961	N	Y	HEMODIALYSIS, INC.	1	01DEC1979	52	Y	Y	N	96	95	001	92	91	105	86	001	92	92	2005	1	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052560	17	GAMBRO HEALTHCARE OF SAN PABLO	14020 SAN PABLO AVENUE		SAN PABLO	CA	94806	5102340835	Y	Y	GAMBRO HEALTHCARE	1	25APR1980	22	Y	N	N	83	90	001	92	91	92	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	CONTRA COSTA
052561	18	VICTOR VALLEY DIALYSIS	16049 KAMANA ROAD		APPLE VALLEY	CA	92307	7602428311	N	Y	DAVITA	1	30JUL1980	20	Y	Y	N	62	76	001	92	91	71	92	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
052563	17	YUBA CITY DIALYSIS CENTER	1525 PLUMAS COURT SUITE A		YUBA CITY	CA	95991	5306713652	N	Y	DAVITA	1	04AUG1980	23	Y	N	N	62	98	001	92	91	63	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SUTTER
052564	18	DAVITA-GARFIELD HEMODIALYSIS CENTER	118 HILLIARD AVENUE		MONTEREY PARK	CA	91754	6262885796	Y	Y	DAVITA	1	06APR1977	25	Y	Y	Y	89	92	001	92	91	103	94	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052565	17	NAPA VALLEY COMMUNITY DIALYSIS	1100 TRANCAS, SUITE 267		NAPA	CA	94558	7072246533	N	N	INDEPENDENT	1	15OCT1980	10	Y	Y	N	18	94	001	92	91	22	95	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	NAPA
052567	17	GAMBRO HEALTHCARE OF VALLEJO	121 HOSPITAL DRIVE		VALLEJO	CA	94590	7075539174	N	Y	GAMBRO HEALTHCARE	1	07AUG1980	19	Y	N	N	44	91	001	92	91	47	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SOLANO
052568	17	PLEASANTON DIALYSIS CENTER	5720 STONERIDGE MALL ROAD #160		PLEASANTON	CA	94588	9257370120	N	Y	DAVITA	1	10FEB1981	20	Y	Y	N	55	91	001	92	91	65	94	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ALAMEDA
052569	17	SOUTH SACRAMENTO DIALYSIS CENTER	7000 FRANKLIN BLVD. #880		SACRAMENTO	CA	95823	9164272561	N	Y	DAVITA	1	19DEC1980	18	Y	N	N	47	98	001	92	91	51	96	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SACRAMENTO
052571	17	UNION CITY DIALYSIS CENTER	32930 ALVARADO-NILES ROAD #300		UNION CITY	CA	94587	5104896996	N	Y	DAVITA	1	20MAY1981	38	Y	Y	N	78	91	001	92	91	93	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ALAMEDA
052572	17	SATELLITE DIALYSIS	2121 ALEXIAN DRIVE 118A		SAN JOSE	CA	95116	4082588720	Y	Y	REGIONAL-SATELLITE HEALTHCARE	2	25MAY1981	56	Y	Y	Y	173	98	001	92	91	178	93	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CLARA
052574	18	DAVITA-DOWNEY DIALYSIS CENTER	8630 FLORENCE AVENUE		DOWNEY	CA	90240	5629236741	Y	Y	DAVITA	1	31AUG1981	19	Y	Y	N	65	98	001	92	91	72	92	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052575	18	RAI-NORTH WATERMAN-SAN BERNARDINO	1500 N. WATERMAN AVENUE		SAN BERNARDINO	CA	92494	9093811591	N	Y	RENAL ADVANTAGE, INC.	1	15NOV1981	32	Y	Y	Y	90	91	001	92	91	107	99	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN BERNARDINO
052576	18	FMC-KEARNY MESA DIALYSIS CENTER	7927 OSTROW STREET, SUITE A		SAN DIEGO	CA	92111	8585710232	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01DEC1987	28	Y	Y	N	86	92	001	92	91	102	96	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SAN DIEGO
052578	17	RAI HARDING BLVD	218 HARDING BLVD.		ROSEVILLE	CA	95678	9167862728	N	Y	RENAL ADVANTAGE, INC.	1	15JAN1982	15	Y	N	N	37	68	001	92	91	39	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	PLACER
052579	18	FMC-CONEJO VALLEY RENAL CENTER	227 W. JANSS ROAD, SUITE 115		THOUSAND OAKS	CA	91360	8054966071	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	14JAN1982	15	Y	N	N	47	96	001	92	91	51	86	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	VENTURA
052580	18	DAVITA-COVINA DIALYSIS CENTER	1547 W. GARVEY  AVENUE		WEST COVINA	CA	91791	6269609404	N	Y	DAVITA	1	14JAN1982	17	Y	Y	N	49	94	001	92	91	52	100	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052581	18	BEACH CITIES DIALYSIS-GARDENA	1045 W. REDONDO BEACH BLVD., SUITE 105		GARDENA	CA	90247	3105150788	N	Y	REGIONAL-PACIFIC SOUTH BAY DIALYSIS INC	1	19MAR1982	17	Y	N	N	52	85	001	92	91	46	96	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052582	18	ST. VINCENT DIALYSIS CENTER, INC.	201 S. ALVARADO STREET, SUITE 220		LOS ANGELES	CA	90057	2134847425	Y	N	INDEPENDENT	2	01SEP1982	17	Y	N	N	48	83	001	92	91	50	52	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052583	17	MONTEREY PENINSULA DIALYSIS	2066 NORTH FREMONT BLVD		MONTEREY	CA	93940	8316556950	N	N	INDEPENDENT	1	05AUG1982	18	Y	Y	N	60	83	001	92	91	71	83	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	MONTEREY
052584	17	GAMBRO HEALTHCARE  NORTH MERCED	3150 G STREET  SUITE A		MERCED	CA	95340	2097230439	N	Y	GAMBRO HEALTHCARE	1	08NOV1982	20	Y	Y	N	65	80	001	92	91	95	88	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	MERCED
052585	18	KIDNEY CENTER OF VAN NUYS	14624 SHERMAN WAY, SUITE 106		VAN NUYS	CA	91405	8189942333	N	Y	REGIONAL-KIDNEY CENTER, INC.	1	01FEB1983	14	Y	Y	N	60	78	001	92	91	67	63	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052587	17	GAMBRO HEALTHCARE OF BERKELEY	2920 TELEGRAPH AVENUE		BERKELEY	CA	94705	5106499870	N	Y	GAMBRO HEALTHCARE	1	04APR1983	23	Y	N	N	74	86	001	92	91	77	95	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ALAMEDA
052588	18	SAN FERNANDO WEST KIDNEY CENTER	7230 MEDICAL CENTER DRIVE, SUITE 101		WEST HILLS	CA	91307	8188884730	Y	Y	REGIONAL-CATHOLIC HEALTHCARE WEST	1	15JUN1983	12	Y	Y	N	56	84	001	92	91	69	62	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052589	18	UCI RENAL DIALYSIS CENTER	101 CITY DRIVE,  BUILDING 52		ORANGE	CA	92868	7144565555	N	N	INDEPENDENT	2	01JUL1983	18	Y	Y	Y	63	92	001	92	91	70	76	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
052590	18	RAI-COMPTON-LOS ANGELES	11859 COMPTON AVENUE		LOS ANGELES	CA	90059	3235631140	N	Y	RENAL ADVANTAGE, INC.	1	19JUL1983	25	Y	Y	N	42	86	001	92	91	61	92	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052591	18	POMONA DIALYSIS	2475 N. GAREY AVENUE		POMONA	CA	91767	9095969997	N	Y	DAVITA	1	15JUL1983	28	Y	N	N	57	95	001	92	91	61	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052597	18	MISSION VIEJO DIALYSIS	27640 MARGUERITE PARKWAY		MISSSION VIEJO	CA	92692	9493472433	N	Y	DAVITA	1	12AUG1977	20	Y	Y	Y	45	89	001	92	91	60	90	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	ORANGE
052599	18	DAVITA-BEVERLY HILLS DIALYSIS CENTER	50 N. LA CIENEGA BLVD., SUITE 300		BEVERLY HILLS	CA	90211	3102891613	Y	Y	DAVITA	1	01JAN1984	24	Y	Y	Y	68	96	001	92	91	64	100	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LOS ANGELES
052600	17	SATELLITE DIALYSIS	393 BLOSSOM HILL ROAD SUITE 110		SAN JOSE	CA	95123	4086299802	N	Y	REGIONAL-SATELLITE HEALTHCARE	2	14SEP1984	25	Y	N	N	56	96	001	92	91	58	97	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SANTA CLARA
052601	17	LAKEPORT DIALYSIS CENTER	804 ELEVENTH STREET		LAKEPORT	CA	95453	7072637132	N	Y	DAVITA	1	17SEP1984	12	Y	N	N	50	96	001	92	91	48	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	LAKE
052602	17	SALINAS DIALYSIS CENTER	955 BLANCO CIRCLE, STE. #C		SALINAS	CA	93901	8317586222	N	Y	DAVITA	1	03OCT1984	34	Y	Y	N	130	98	001	92	91	156	93	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	MONTEREY
052604	17	MANZANITA DIALYSIS CENTER	4005 MANZANITA AVENUE STE 17 & 18		CARMICHAEL	CA	95608	9164833241	Y	Y	DAVITA	1	05SEP1984	21	Y	Y	N	50	86	001	92	91	57	98	001	92	92	2005	2	001	100	4013	174	12	364	10	2002-2005	SACRAMENTO
