Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,ICH-CAHPS date,ICH-CAHPS data availability code,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Star rating of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Star rating of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients ,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Star rating of providing information to patients,Lower box percent of patients-rating of the nephrologist ,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Star rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff ,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff ,Linearized score of rating of the dialysis center staff,Star rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility ,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Star rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH CAHPS Survey of patients' experiences star rating ,ICH-CAHPS survey response rate
072541,01,DAVITA WILLARD AVENUE DIALYSIS,445E Willard Avenue,,NEWINGTON,CT,06111,Hartford,(860) 667-1700,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072542,01,COMPREHENSIVE DIALYSIS CARE LLC,"61 Pomeroy Ave., Building 1",,Meriden,CT,06450,New Haven,(203) 238-1962,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072543,01,DAVITA HAMDEN DIALYSIS,3000 Dixwell Avenue,Ste 100,HAMDEN,CT,06518,New Haven,(203) 281-5361,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072544,01,DAVITA DANBURY DIALYSIS,111 OSBORNE STREET,SUITE 211,DANBURY,CT,06810,Fairfield,(203) 794-1938,Profit,Yes,DaVita,16APR2021-07JAN2022,001,26,20,54,74,2,29,15,56,73,2,25,75,75,2,22,18,60,84,3,20,16,64,83,2,25,7,68,83,2,31,2,23
072545,01,DAVITA FARMINGTON DIALYSIS,"11 South Rd, Suite 110",,FARMINGTON,CT,06032,Hartford,(860) 678-0587,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072546,01,U.S.RENAL CARE BRANFORD DIALYSIS,322 East Main Street,Suite 1A,BRANFORD,CT,06405,New Haven,(203) 483-0710,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072547,01,DAVITA PALOMBA DRIVE DIALYSIS,51 Palomba Drive,,ENFIELD,CT,06082,Hartford,(860) 749-0476,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072548,01,DAVITA HOUSATONIC DIALYSIS,164 Mount Pleasant Rd,,NEWTOWN,CT,06470,Fairfield,(203) 270-0081,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072549,01,WALLINGFORD DIALYSIS CARE LLC,720 N Main Street Ext,Suite 3,WALLINGFORD,CT,06492,New Haven,(203) 265-0667,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550,01,FRESENIUS MEDICAL CARE WINDSOR,1 Emerson Drive,,WINDSOR,CT,06095,Hartford,(860) 285-8612,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072551,01,HERALD SQUARE DIALYSIS LLC,One Herald Square,Suite 100,NEW BRITAIN,CT,06051,Hartford,(860) 223-4963,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072552,01,DAVITA NORWALK RIVER DIALYSIS,112 MAIN STREET,,NORWALK,CT,06851,Fairfield,(203) 229-0420,Non-profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072553,01,DAVITA HAWLEY LANE DIALYSIS,425 Hawley LN,,STRATFORD,CT,06614,Fairfield,(203) 375-5438,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072554,01,DAVITA HARTFORD DOWNTOWN DIALYSIS,80 Seymour Street,,Hartford,CT,06115,Hartford,(860) 244-2108,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072555,01,DAVITA RUTLAND DIALYSIS,100 Grand Street,,New Britain,CT,06052,Hartford,(860) 223-4603,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072556,01,AVON DIALYSIS INC,54 West Avon Rd,,Avon,CT,06001,Hartford,(860) 269-3370,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072557,01,DAVITA TOTAL RENAL CARE INC.,7 Cambridge Drive,Suite 105,Trumbull,CT,06611,Fairfield,(203) 371-6592,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072558,01,LONG RIDGE DIALYSIS,260 Long Ridge Road,Suite D,Stamford,CT,06902,Fairfield,(475) 477-5557,Profit,Yes,DaVita,16APR2021-07JAN2022,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082300,04,CHRISTIANA CARE HEALTH SYSTEM,"Hemodialysis Unit, Christiana Hospital","4755 Ogletown-Stanton Road, P.O. Box 6001",Newark,DE,19718,New Castle,(302) 733-1001,Non-profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082301,04,BAYHEALTH MEDICAL CENTER,640 S State Street,,dover,DE,19901,Kent,(302) 744-7322,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082302,04,ALFRED I. DUPONT HOSPITAL FOR CHILDREN DIALYSIS CENTER,1600 Rockland Road,,Wilmington,DE,19899,New Castle,(302) 651-5374,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082501,04,FRESENIUS KIDNEY CARE - BRANDYWINE,303 A Street,,Wilmington,DE,19801,New Castle,(302) 658-7469,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082502,04,FRESENIUS KIDNEY CARE - CENTRAL DELAWARE,Blue Hen Corporate Center,"655 South Bay Road, Suite 4M",Dover,DE,19901,Kent,(302) 678-5718,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,35,20,45,66,2,22,19,59,78,2,22,78,78,3,45,21,34,66,1,21,20,59,81,2,14,22,64,84,3,39,2,30
082503,04,FRESENIUS KIDNEY CARE - MID SUSSEX COUNTY,34 Georgetown Plaza,,Georgetown,DE,19947,Sussex,(302) 854-0230,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082505,04,FRESENIUS KIDNEY CARE - RIVERSIDE PARK,"Riverside Medical Arts Complex, Suite G2",700 W. Lea Boulevard,Wilmington,DE,19802,New Castle,(302) 762-8585,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082506,04,FRESENIUS KIDNEY CARE - CHRISTIANA,University Plaza Shopping Center,63 University Plaza,Newark,DE,19702,New Castle,(302) 453-8834,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,19,25,56,77,3,33,24,43,68,1,34,66,66,1,21,25,54,79,2,29,37,34,75,1,25,33,42,78,2,37,2,29
082507,04,FRESENIUS KIDNEY CARE - MILFORD,656D North DuPont Highway,,Milford,DE,19963,Sussex,(302) 424-0552,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,20,17,63,78,3,18,22,60,79,3,16,84,84,4,22,23,55,81,2,16,31,53,83,2,16,27,57,85,3,42,3,30
082509,04,FRESENIUS KIDNEY CARE - FIRST STATE,608 Ferry Cut-Off,,New Castle,DE,19720,New Castle,(302) 328-9044,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,17,18,65,82,3,23,19,58,77,2,25,75,75,2,17,36,47,82,2,16,27,57,85,3,16,21,63,86,3,37,3,38
082510,04,FRESENIUS KIDNEY CARE - REHOBOTH,"19339 Coastal Highway, Suite 100",,Rehoboth Beach,DE,19971,Sussex,(302) 226-9330,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082511,04,FRESENIUS KIDNEY CARE - WILMINGTON,"St. Francis Medical Office Building, Suite 404",7th and Clayton Street,Wilmington,DE,19805,New Castle,(302) 421-9177,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082512,04,FRESENIUS KIDNEY CARE - SMYRNA,Gateway North Shopping Center,"210 Stadium Street, Rt. 13",Smyrna,DE,19977,Kent,(302) 659-5220,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082513,04,FRESENIUS KIDNEY CARE - NEWPORT PIKE,605 W. Newport Pike,,Wilmington,DE,19804,New Castle,(302) 633-6228,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082514,04,FRESENIUS KIDNEY CARE - MIDDLETOWN,"104 Sleepy Hollow Drive, Suite 100",,Middletown,DE,19709,New Castle,(302) 449-1601,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082515,04,FRESENIUS KIDNEY CARE - GREENTREE,"97 Commerce Way, Suite 104",,Dover,DE,19904,Kent,(302) 674-1919,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082516,04,FRESENIUS KIDNEY CARE - NORTH WILMINGTON,4000 Washington Street,,Wilmington,DE,19802,New Castle,(302) 762-2903,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082517,04,LIBERTY DIALYSIS - WILMINGTON,913 Delaware Avenue,,Wilmington,DE,19806,New Castle,(302) 429-0142,Non-profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082518,04,DSI SEAFORD,600 Health Services Drive,,Seaford,DE,19973,Sussex,(302) 262-0852,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082519,04,FRESENIUS KIDNEY CARE - MILLSBORO,30164 Commerce Drive,,Millsboro,DE,19966,Sussex,(302) 934-6342,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082520,04,FRESENIUS KIDNEY CARE - BRANDYWINE HOME THERAPIES,"4923 Ogletown-Stanton Road, Suite 210",,Newark,DE,19713,New Castle,(302) 998-7568,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082521,04,FRESENIUS KIDNEY CARE - FOX RUN,"2520 Wrangle Hill Road, Suite 100",,Bear,DE,19701,New Castle,(302) 836-6093,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,15,19,66,82,3,15,20,65,83,4,20,80,80,4,20,21,59,84,3,16,19,65,87,3,14,13,73,90,4,40,4,36
082522,04,AMERICAN UNIVERSAL LLC,"1415 Pulaski Highway, Suite B",,Newark,DE,19702,New Castle,(302) 836-9790,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082523,04,AMERICAN UNIVERSAL - HOCKESSIN,"5936 Limestone Road, Suite 101",,Hockessin,DE,19707,New Castle,(302) 239-4106,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082524,04,DSI LAUREL DIALYSIS LLC,30214 Sussex Highway,Unit #5,Laurel,DE,19956,Sussex,(302) 715-3060,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082525,04,FRESENIUS MEDICAL CARE NORTHERN DELAWARE LLC.,Lantana Square Shopping Center,214 Lantana Drive,Hockessin,DE,19707,New Castle,(302) 239-4704,Non-profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082526,04,FRESENIUS MEDICAL CARE SOUTHERN DELAWARE LLC,1198 South Governors Avenue,"Building B, Suite 201",Dover,DE,19904,Kent,(302) 736-1340,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082527,04,FRESENIUS MEDICAL CARE SOUTHERN DELAWARE LLC,9115 Antique Alley,,Bridgeville,DE,19933,Sussex,(302) 337-8789,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082528,04,FRESENIUS MEDICAL CARE SOUTHERN DELAWARE LLC,80 Salt Creek Drive,,Dover,DE,19901,Kent,(302) 678-2181,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082529,04,BIO-MEDICAL APPLICATIONS OF DELAWARE INC,"1417 Foulk Road, Suite 100",,Wilmington,DE,19803,New Castle,(302) 479-7130,Non-profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082530,04,BIO-MEDICAL APPLICATIONS OF DELAWARE INC.,"230 E. Main Street, Unit 325",,Newark,DE,19711,New Castle,(302) 366-0129,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082531,04,DOVER UNIVERSAL LLC,"107 Mont Blanc Blvd., Suite 100",,Dover,DE,19904,Kent,(302) 674-2074,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082532,04,MIDDLETOWN UNIVERSAL LLC,"601 Tower Lane, Suite 100",,Middletown,DE,19709,New Castle,(302) 376-8917,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092305,05,DAVITA CHILDRENS NATIONAL MEDICAL CENTER,111 MICHIGAN AVE NW,,WASHINGTON,DC,20010,District of Columbia,(202) 476-5148,Profit,Yes,DaVita,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092501,05,BMA - DUPONT CIRCLE,11 DUPONT CIR NW,STE LL100,WASHINGTON,DC,20036,District of Columbia,(202) 483-0176,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092503,05,BMA - COLUMBIA HEIGHTS,106 IRVING ST NW,STE 1400,WASHINGTON,DC,20010,District of Columbia,(202) 829-0060,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,19,12,69,81,3,26,20,54,74,2,22,78,78,3,7,36,57,85,3,11,38,51,83,2,10,34,56,83,2,46,3,18
092505,05,GREATER SOUTHEAST COMMUNITY DIALYSIS CENTER,4601 MARTI LUTHER KING JR. AVENUE SOUTHWEST,SUITE A,WASHINGTON,DC,20032,District of Columbia,(202) 838-3153,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092508,05,FMC - ANACOSTIA,3929 MINNESOTA AVE NE,,WASHINGTON,DC,20019,District of Columbia,(202) 397-2700,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092510,05,DAVITA LEE STREET DIALYSIS,5155 LEE ST NE,,WASHINGTON,DC,20019,District of Columbia,(202) 398-1047,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092513,05,DAVITA EIGHTH STREET DIALYSIS,920 BLADENSBURG ROAD NE,,WASHINGTON,DC,20002,District of Columbia,(202) 399-0812,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092515,05,BMA - NORTHEAST WASHINGTON,817 VARNUM ST NE,,WASHINGTON,DC,20017,District of Columbia,(202) 832-4481,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092516,05,DAVITA GEORGETOWN HOME TRAINING,2233 WISCONSIN AVE NW,SUITE 215,WASHINGTON,DC,20007,District of Columbia,(202) 337-1431,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092517,05,DAVITA GWU SOUTHEAST DIALYSIS,RENAL DIALYSIS UNIT,3857 A PENNSYLVANIA AVE SE,WASHINGTON,DC,20020,District of Columbia,(202) 581-9440,Profit,Yes,DaVita,16APR2021-07JAN2022,001,30,13,57,72,2,21,23,56,77,2,25,75,75,2,19,33,48,76,2,10,31,59,85,3,18,38,44,78,2,30,2,18
092518,05,DAVITA K STREET DIALYSIS,2131 K STREET NW,STE 300,WASHINGTON,DC,20037,District of Columbia,(202) 223-8453,Profit,Yes,DaVita,16APR2021-07JAN2022,001,36,15,49,66,2,20,19,61,79,3,24,76,76,3,20,49,31,73,1,14,39,47,82,2,17,33,50,82,2,33,2,21
092519,05,DAVITA BRENTWOOD DIALYSIS,1231 BRENTWOOD RD NE,,WASHINGTON,DC,20018,District of Columbia,(202) 636-3711,Profit,Yes,DaVita,16APR2021-07JAN2022,001,14,19,67,83,3,18,22,60,79,3,25,75,75,2,8,34,58,87,4,10,47,43,85,3,17,32,51,81,2,36,3,23
092520,05,DAVITA UNION PLAZA DIALYSIS CENTER,810 1ST ST NE,STE 100,WASHINGTON,DC,20002,District of Columbia,(202) 842-3127,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092521,05,CAPITOL DIALYSIS,"140 Q STREET, N.E.",,WASHINGTON,DC,20002,District of Columbia,(202) 636-9411,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092522,05,DAVITA GRANT PARK DIALYSIS,5000 NANNIE HELEN BURROUGHS AVE NE,,WASHINGTON,DC,20019,District of Columbia,(202) 399-7700,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092524,05,DAVITA WASHINGTON NURSING FACILITY,2425 25TH STREET SE,,WASHINGTON,DC,20020,District of Columbia,(202) 678-0013,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092525,05,DAVITA INTERNATIONAL DIALYSIS,1730 HAMLIN ST NE,,WASHINGTON,DC,20018,District of Columbia,(202) 525-5415,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092526,05,KAISER HEALTH PLAN OF THE MID-ATLANTIC STATES,700 SECOND ST NE,6TH FLOOR - NEPHROLOGY,WASHINGTON,DC,20002,District of Columbia,(202) 346-3550,Non-profit,Yes,Kaiser Permanente,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092527,05,RAI - CHILLUM-WASHINGTON,6411 CHILLUM PL NW,,WASHINGTON,DC,20012,District of Columbia,(202) 291-2191,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092528,05,HOWARD UNIVERSITY DIALYSIS CENTER LLC,2041 GEORGIA AVE NW,TOWER BUILDING SUITE 1119B,WASHINGTON,DC,20060,District of Columbia,(202) 865-7365,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,001,6,6,88,94,5,16,12,72,84,4,11,89,89,5,1,10,89,95,5,11,11,78,90,4,6,13,81,93,5,39,5,20
092529,05,RAI CARE CENTERS OF SOUTHEAST DC LLC,1918 14TH ST SE,,WASHINGTON,DC,20020,District of Columbia,(202) 889-0529,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092530,05,DAVITA WASHINGTON CENTER FOR AGING,"2601 18th Street NE, A Wing Basement",,Washington,DC,20018,District of Columbia,(202) 636-7212,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102302,07,FLORIDA HOSPITAL ESRD,601 E ROLLINS ST,,ORLANDO,FL,32803,Orange,(407) 303-7961,Non-profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102303,07,SAINT MARYS HOSPITAL DIALYSIS UNIT,901 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 882-6470,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102304,07,JACKSON MEMORIAL HOSP DIALYSIS PEDIATRIC,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,(305) 585-5372,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102306,07,MEMORIAL REGIONAL HOSP - PEDIATRIC DIALYSIS,3501 JOHNSON ST,,HOLLYWOOD,FL,33021,Broward,(954) 265-0100,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102312,07,SHANDS HOSPITAL - PEDIATRIC DIALYSIS,1600 SW Archer Road,,GAINESVILLE,FL,32610,Alachua,(352) 265-0265,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102314,07,TAMPA GENERAL HOSPITAL ESRD,PEDIATRIC DIALYSIS,1 TAMPA GENERAL CIRCLE,TAMPA,FL,33601,Hillsborough,(813) 844-4210,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102328,07,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL DIALYSIS,501 6TH AVE S,6500000410,SAINT PETERSBURG,FL,33701,Pinellas,(727) 767-4166,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102330,07,BAPTIST MEDICAL CENTER - PEDIATRIC DIALYSIS,800 PRUDENTIAL DR,M2WEST,JACKSONVILLE,FL,32207,Duval,(904) 202-0436,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102336,07,MIAMI CHILDRENS HOSP DIALYSIS UNIT,6125 SW 31ST ST,,MIAMI,FL,33155,Miami-Dade,(305) 669-6479,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102341,07,HEWELL KIDS KIDNEY CENTER AT ORLANDO HEALTH,92 W MILLER STREET,,ORLANDO,FL,32806,Orange,(321) 841-7970,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102501,07,FMC - PENSACOLA,1305 W MORENO ST,,PENSACOLA,FL,32501,Escambia,(850) 434-1176,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,26,17,57,72,2,19,21,60,79,3,25,75,75,2,19,24,57,80,2,15,18,67,87,3,21,19,60,84,3,41,3,23
102502,07,FMC - SOUTH MIAMI,8770 SW 144TH ST,,MIAMI,FL,33176,Miami-Dade,(305) 255-3100,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102503,07,DADE DIALYSIS CENTER,1494 NW 7 ST,,MIAMI,FL,33125,Miami-Dade,(305) 631-4110,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102504,07,DAVITA SOUTH BROWARD ARTIFICIAL KIDNEY CENTER,4401 HOLLYWOOD BLVD,,HOLLYWOOD,FL,33021,Broward,(954) 962-2211,Profit,Yes,DaVita,16APR2021-07JAN2022,001,18,10,72,82,3,21,16,63,78,2,19,81,81,4,15,23,62,83,3,14,30,56,83,2,15,17,68,85,3,33,3,15
102505,07,CENTRAL FLORIDA KIDNEY CENTERS INC,203 ERNESTINE STREET,,ORLANDO,FL,32801,Orange,(407) 843-6110,Non-profit,Yes,Central Florida Kidney Centers,16APR2021-07JAN2022,001,21,13,66,80,3,16,15,69,83,4,22,78,78,3,23,29,48,79,2,4,30,66,89,4,3,24,73,92,4,52,3,38
102506,07,BMA - TAMPA,3614 W Kennedy Blvd,,Tampa,FL,33609,Hillsborough,(813) 348-2922,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102510,07,DAVITA DIALYSIS ASSOCIATES OF THE PALM BEACHES,2611 POINSETTIA AVE,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 833-0759,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102511,07,ORLANDO ARTIFICIAL KIDNEY CENTER,775 Gateway Drive,Suite 1010,ALTAMONTE SPRINGS,FL,32714,Seminole,(407) 294-2456,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102512,07,BMA - GAINESVILLE,1775 NW 80TH BLVD,,GAINESVILLE,FL,32606,Alachua,(352) 332-8998,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,21,18,61,78,3,24,19,57,75,2,15,85,85,5,16,29,55,84,3,15,20,65,82,2,16,17,67,83,2,32,3,25
102513,07,DAVITA FORT MYERS DIALYSIS,4220 EXECUTIVE CIRCLE #38,,FORT MYERS,FL,33916,Lee,(239) 274-3681,Profit,Yes,DaVita,16APR2021-07JAN2022,001,27,11,62,75,2,27,19,54,73,2,18,82,82,4,18,19,63,82,2,24,19,57,80,2,36,21,43,74,1,39,2,25
