Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
PLANTATION  DIALYSIS - PLANTATION,102536,-,7061 CYPRESS RD STE 103,-,PLANTATION,FL,33317,7,3,14%,72,98,679,18%,124,692,Achievement,8,73%,65,523,719,66%,492,749,Achievement,5,6,9,99%,72,642,649,98%,660,674,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,110,13,988,0%,4,1027,Achievement,8,0.282,160,2,7.092,0.868,7,8.064,Achievement,10,10,10,3,1.12,157,44,39.44,1.26,35,27.75,Achievement,74,No Reduction,1/10/1980,GAMBRO HEALTHCARE,10/6/2005
BRADENTON ARTIFICIAL KIDNEY CENTER,102538,-,5902 POINTE WEST BLVD,-,BRADENTON,FL,34209,7,8,6%,48,26,422,2%,6,397,Achievement,2,58%,46,266,461,68%,298,437,Achievement,5,6,10,100%,51,421,422,99%,405,411,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,68,5,625,1%,8,564,Achievement,2,1.533,140,6,3.915,0.598,2,3.346,Achievement,10,10,9,8,0.76,77,14,18.38,0.47,6,12.82,Achievement,73,No Reduction,1/7/1980,FRESENIUS MEDICAL CARE,7/6/2007
BMA - CLEARWATER,102542,-,26338 US HWY 19 N,-,CLEARWATER,FL,33761,7,4,12%,56,53,460,8%,31,406,Achievement,4,64%,52,323,506,66%,311,469,Achievement,4,6,8,98%,55,442,452,91%,362,398,Achievement,No Score,No Rate,<11,,,86%,62,72,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,4,3%,95,26,836,2%,13,733,Achievement,10,0,140,0,5.167,1.43,6,4.194,Achievement,10,10,10,4,1.01,86,25,24.8,1,28,28.14,Achievement,71,No Reduction,6/25/1980,FRESENIUS MEDICAL CARE,2/3/2015
KEY WEST DIALYSIS,102543,-,1122 KEY PLAZA,-,KEY WEST,FL,33040,7,4,12%,44,40,346,9%,31,361,Achievement,7,70%,43,282,402,81%,321,395,Achievement,5,6,9,99%,44,351,354,99%,351,353,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,56,7,501,2%,10,461,Achievement,2,1.416,178,5,3.532,0.759,2,2.635,Achievement,No Score,7,10,2,1.16,86,24,20.64,0.94,14,14.9,Achievement,59,0.50%,7/14/1980,DAVITA,11/6/2014
NW BROWARD ARTIFICIAL KIDNEY CENTER,102544,-,2514 N STATE ROAD 7,-,MARGATE,FL,33063,7,0,19%,86,143,757,7%,48,675,Achievement,2,56%,81,465,836,62%,468,752,Achievement,1,6,7,97%,88,721,740,96%,637,661,Achievement,No Score,No Rate,<11,,,85%,133,157,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,6,2%,141,18,1182,4%,50,1194,Achievement,6,0.755,205,8,10.598,0.527,5,9.487,Achievement,10,9,10,2,1.2,273,71,59.4,1.37,90,65.49,Improvement,56,0.50%,11/14/1980,FRESENIUS MEDICAL CARE,1/2/2005
WINTER HAVEN DIALYSIS,102545,-,1625 UNITY WAY NW,-,WINTER HAVEN,FL,33881,7,4,13%,79,84,636,7%,50,680,Achievement,3,60%,73,420,700,63%,480,768,Achievement,4,6,8,98%,81,608,620,98%,682,693,Achievement,10,99%,37,297,300,92%,250,271,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,152,10,1353,1%,11,1370,Achievement,5,0.944,165,7,7.414,0.28,2,7.132,Achievement,10,10,10,4,1.03,183,49,47.6,1.08,62,57.58,Achievement,69,No Reduction,1/28/1981,GAMBRO HEALTHCARE,10/6/2005
FMC - SANFORD,102546,-,419 E FIRST ST,-,SANFORD,FL,32771,7,10,2%,80,12,746,10%,70,726,Achievement,7,71%,77,576,806,73%,556,766,Achievement,9,6,5,95%,86,693,729,92%,669,724,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,6,2%,116,23,1074,6%,65,1053,Achievement,4,1.222,154,6,4.911,2.042,13,6.365,Improvement,10,10,10,3,1.07,135,37,34.59,1.1,38,34.46,Achievement,65,No Reduction,12/15/1980,FRESENIUS MEDICAL CARE,10/23/2007
FMC - SOUTH SAINT PETERSBURG,102547,-,650 34TH ST S,-,SAINT PETERSBURG,FL,33711,7,10,1%,73,4,724,1%,10,934,Achievement,1,55%,65,397,721,63%,596,947,Achievement,6,6,8,98%,75,684,697,95%,862,912,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,114,26,1064,4%,52,1305,Achievement,8,0.227,161,1,4.398,0.864,5,5.786,Achievement,10,10,9,7,0.8,79,14,17.47,1.16,36,31.05,Achievement,77,No Reduction,10/1/1980,FRESENIUS MEDICAL CARE,12/22/2014
BMA - LAKE CITY,102548,-,1445 SW MAIN BLVD STE 120,-,LAKE CITY,FL,32025,7,2,16%,97,132,838,9%,74,793,Achievement,3,59%,88,520,886,61%,520,856,Achievement,2,6,9,99%,92,696,701,99%,766,773,Achievement,10,96%,18,118,124,91%,154,170,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,130,19,1160,3%,33,1190,Achievement,8,0.382,155,3,7.854,1.048,9,8.587,Achievement,10,10,10,1,1.23,164,56,45.51,1.19,51,42.69,Achievement,64,No Reduction,6/1/1981,FRESENIUS MEDICAL CARE,9/23/2014
PORT CHARLOTTE ARTIFICIAL KIDNEY CT,102549,-,4300 KINGS HWY #406-D17,-,PORT CHARLOTTE,FL,33980,7,2,17%,65,79,461,22%,109,486,Improvement,2,57%,55,299,527,51%,281,550,Achievement,2,6,9,99%,72,485,491,100%,491,493,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,80,7,631,1%,6,668,Achievement,5,0.97,136,5,5.157,0.522,3,5.743,Achievement,No Score,9,9,2,1.19,125,37,30.97,1.11,36,32.5,Achievement,60,No Reduction,8/3/1981,DAVITA,5/15/1999
RTC - LEESBURG,102551,-,8425 US HIGHWAY 441,SUITE 104,LEESBURG,FL,34788,7,No Score,No Rate,<11,,,6%,26,414,N/A,No Score,No Rate,<11,,,71%,,,N/A,No Score,6,No Score,No Rate,<11,,,99%,373,375,N/A,No Score,No Rate,<11,,,99%,96,97,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,No Score,No Rate,<11,,,1%,7,559,N/A,No Score,No Rate,<11,,N/A,0.793,3,3.781,N/A,No Score,No Score,No Score,No Score,No Rate,<11,,N/A,0.99,20,20.24,N/A,No Score,No Reduction,9/24/1981,DAVITA,4/15/2016
RAI-S COURTENAY-MERRITT ISLAND,102553,-,245 S COURTENAY PKWY BLDG A,-,MERRITT ISLAND,FL,32952,7,1,20%,125,192,942,23%,251,1091,Improvement,4,63%,101,649,1024,56%,646,1149,Achievement,2,6,6,96%,114,820,855,90%,917,1020,Achievement,10,99%,16,91,92,85%,103,121,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,177,18,1554,4%,58,1599,Achievement,5,0.866,250,11,12.695,1.405,18,12.811,Achievement,10,10,10,1,1.2,244,77,64.09,1.16,73,63.05,Achievement,56,0.50%,2/4/1982,RENAL ADVANTAGE,12/2/2008
PLANT CITY DIALYSIS,102554,-,1211 W REYNOLDS ST STE 1,-,PLANT CITY,FL,33563,7,5,10%,55,47,480,9%,43,467,Achievement,2,55%,53,288,527,48%,245,509,Improvement,4,6,8,98%,61,456,465,98%,472,484,Achievement,10,96%,15,125,131,86%,76,88,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,100,0,905,0%,1,825,Achievement,0,3.646,150,16,4.389,1.49,7,4.698,Achievement,10,8,10,1,1.24,194,70,56.25,1.02,49,47.85,Achievement,55,0.50%,4/2/1982,GAMBRO HEALTHCARE,4/22/2008
BROWARD DIALYSIS,102555,-,1500 N FEDERAL HWY #100,-,FORT LAUDERDALE,FL,33304,7,10,3%,56,18,519,7%,41,596,Achievement,5,66%,49,343,522,63%,400,639,Achievement,8,6,7,97%,81,533,550,99%,599,603,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,78,2,738,0%,3,879,Achievement,2,1.448,154,5,3.454,1.567,7,4.467,Achievement,10,9,9,0,1.36,99,32,23.55,0.91,18,19.87,Achievement,61,No Reduction,9/1/1982,GAMBRO HEALTHCARE,10/8/2007
FMC DIALYSIS SERVICES - SAINT AUGUSTINE,102557,-,1680 OSCEOLA ELEMENTARY ROAD SUITE B,-,SAINT AUGUSTINE,FL,32084,7,1,18%,64,100,545,12%,72,581,Achievement,3,59%,65,362,614,58%,367,629,Achievement,2,6,5,95%,69,501,528,94%,530,565,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,84,9,704,4%,28,653,Achievement,9,0.165,152,1,6.055,0.404,2,4.95,Achievement,No Score,7,10,2,1.18,141,48,40.71,0.92,23,24.94,Achievement,59,0.50%,12/20/1982,FRESENIUS MEDICAL CARE,3/26/2005
NORTH BEACH DIALYSIS CENTER,102558,-,17801 NW 2ND AVE,SUITE 229,MIAMI,FL,33169,7,0,19%,107,163,863,16%,148,914,Achievement,1,55%,98,523,956,63%,617,979,Achievement,0,6,7,97%,123,837,862,98%,892,909,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,182,9,1587,1%,25,1729,Achievement,4,1.077,259,6,5.57,No Rate,,N/A,Achievement,10,7,10,2,1.17,319,104,88.98,1.18,102,86.65,Achievement,52,0.50%,2/23/1983,NOT A CHAIN,3/8/2008
FLORIDA KIDNEY CENTER,102559,-,7309 WEST OAKLAND PARK BLVD,-,LAUDERHILL,FL,33319,7,1,18%,96,145,816,18%,162,915,Achievement,1,53%,87,467,873,55%,529,958,Achievement,1,6,8,98%,96,773,788,96%,859,894,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,173,15,1596,2%,34,1663,Achievement,5,0.985,207,11,11.171,1.038,12,11.562,Achievement,10,10,10,4,1.04,177,46,44.4,1.34,62,46.13,Achievement,62,No Reduction,4/1/1983,FRESENIUS MEDICAL CARE,3/16/2006
BAYONET POINT - HUDSON KIDNEY CTR,102563,-,14144 NEPHRON LN,-,HUDSON,FL,34667,7,10,3%,52,12,365,4%,14,326,Achievement,10,84%,44,345,411,83%,323,388,Achievement,10,6,10,100%,53,365,366,99%,352,355,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,4,3%,75,16,576,0%,0,435,Achievement,4,3.197,87,11,3.441,5.797,13,2.242,Improvement,10,10,10,0,1.44,103,39,27.01,1.3,24,18.47,Achievement,68,No Reduction,12/23/1982,DAVITA,5/15/1999
RENAL CARE CENTER - SEBRING,102564,-,40 MEDICAL CENTER AVE,-,SEBRING,FL,33870,7,1,17%,72,105,626,17%,119,704,Achievement,0,48%,67,316,664,54%,408,759,Achievement,1,6,10,100%,79,601,603,97%,678,700,Achievement,6,86%,11,41,58,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,93,1,796,3%,24,853,Achievement,4,1.203,127,8,6.648,0.834,6,7.192,Achievement,10,10,10,4,1,124,35,34.87,1.21,39,32.21,Achievement,66,No Reduction,6/1/1983,FRESENIUS MEDICAL CARE,11/1/2002
HOMESTEAD ARTIFICIAL KIDNEY CENTER,102565,-,99 NE 8TH ST,-,HOMESTEAD,FL,33030,7,8,6%,93,49,855,5%,39,802,Achievement,7,71%,88,643,907,73%,625,853,Achievement,8,6,6,96%,99,784,813,96%,766,800,Achievement,No Score,No Rate,<11,,,84%,68,81,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,171,23,1607,2%,31,1448,Achievement,3,1.393,206,11,7.897,1.108,8,7.221,Achievement,10,10,10,0,1.27,158,52,41.09,1.06,40,37.58,Achievement,61,No Reduction,8/8/1983,FRESENIUS MEDICAL CARE,9/25/2014
BMA - METROPOLITAN MIAMI,102566,-,5550 W FLAGLER ST,-,MIAMI,FL,33134,7,5,11%,59,56,510,12%,55,468,Achievement,8,75%,57,423,562,73%,359,495,Achievement,6,6,6,96%,62,455,473,95%,424,445,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,6,2%,115,16,1039,3%,28,937,Achievement,6,0.734,153,5,6.812,0.164,1,6.107,Achievement,10,10,10,4,1.05,101,25,23.82,0.99,16,16.21,Achievement,67,No Reduction,9/21/1983,FRESENIUS MEDICAL CARE,7/30/2013
KISSIMMEE DIALYSIS,102569,-,802 JOHN YOUNG PARKWAY,-,KISSIMMEE,FL,34741,7,2,15%,71,78,514,20%,122,606,Achievement,3,52%,78,293,567,40%,283,704,Improvement,2,6,9,99%,75,511,518,99%,606,610,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,115,15,963,2%,17,969,Achievement,5,1.002,358,8,7.983,0.479,4,8.343,Achievement,10,9,9,2,1.33,256,87,65.54,1.53,112,73.3,Improvement,59,0.50%,2/29/1984,GAMBRO HEALTHCARE,10/1/2007
BELLE GLADE DIALYSIS CENTER,102571,-,933 SE 1ST ST,-,BELLE GLADE,FL,33430,7,4,12%,82,96,807,11%,75,697,Achievement,3,59%,80,518,872,64%,477,743,Achievement,4,6,6,96%,83,779,809,92%,643,699,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,106,6,1027,3%,26,912,Achievement,9,0.111,137,1,9.034,0.385,3,7.783,Achievement,10,10,10,5,0.95,130,30,31.46,1.3,35,26.91,Achievement,72,No Reduction,8/22/1984,AMERICAN RENAL ASSOCIATES,12/18/2014
DELAND DIALYSIS,102573,-,350 EAST NEW YORK AVENUE,-,DELAND,FL,32724,7,6,9%,77,52,593,11%,63,576,Achievement,7,71%,72,478,669,71%,448,627,Achievement,6,6,9,99%,79,610,614,99%,580,583,Achievement,10,97%,33,259,268,96%,318,330,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,162,29,1348,2%,21,1338,Achievement,2,1.428,184,10,7.004,0.144,1,6.958,Achievement,10,9,10,2,1.18,207,69,58.49,1.2,69,57.4,Achievement,61,No Reduction,2/15/1985,GAMBRO HEALTHCARE,7/18/2014
RAI CARE CENTERS - FORT PIERCE,102574,-,2501 OHIO AVE,-,FORT PIERCE,FL,34950,7,3,14%,78,95,694,13%,89,697,Achievement,2,57%,73,418,737,52%,394,756,Achievement,3,6,6,96%,68,562,586,93%,571,612,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,114,8,1023,1%,12,930,Achievement,4,1.269,130,8,6.302,2.376,16,6.733,Improvement,10,10,10,0,1.78,175,81,45.48,1.06,54,50.83,Achievement,54,0.50%,5/10/1985,RENAL ADVANTAGE,10/2/2005
WATSON CLINIC KIDNEY CENTER,102576,-,1550 LAKELAND HILLS BLVD,-,LAKELAND,FL,33805,7,5,11%,82,69,606,13%,93,689,Achievement,3,59%,72,385,658,59%,441,753,Achievement,4,6,7,97%,81,648,670,97%,694,713,Achievement,7,88%,20,114,135,87%,154,178,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,121,16,1116,3%,37,1169,Achievement,2,1.424,138,11,7.727,0.776,6,7.733,Achievement,10,10,10,4,1.01,129,38,37.61,0.79,23,29.05,Achievement,61,No Reduction,8/27/1985,NOT A CHAIN,5/15/1999
CORAL GABLES KIDNEY CENTER,102578,-,3280 PONCE DE LEON BLVD,-,MIAMI,FL,33134,7,8,5%,51,21,452,10%,48,465,Achievement,10,88%,49,434,492,76%,384,503,Achievement,9,6,10,100%,55,467,469,99%,443,447,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,95,7,931,0%,3,855,Achievement,4,1.207,146,6,4.972,0.531,3,5.647,Achievement,10,10,10,3,1.08,106,26,24.11,1.18,32,27.08,Achievement,75,No Reduction,5/7/1986,DAVITA,5/21/2009
INVERNESS DIALYSIS CENTER,102579,-,1510 HIGHWAY 41 NORTH,-,INVERNESS,FL,34450,7,0,28%,84,182,645,15%,85,574,Achievement,0,52%,79,374,725,61%,396,648,Achievement,0,6,0,91%,84,577,634,94%,523,559,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,2,10%,94,90,909,14%,102,751,Improvement,0,2.743,151,25,9.114,1.76,13,7.387,Achievement,10,8,10,0,1.4,194,66,46.98,0.95,30,31.49,Achievement,25,2.00%,12/4/1986,FRESENIUS MEDICAL CARE,1/27/2006
SEMINOLE DIALYSIS CENTER,102581,-,10755 PARK BLVD NORTH,SUITE B,SEMINOLE,FL,33772,7,8,5%,40,16,325,3%,10,362,Achievement,1,53%,37,188,358,70%,276,394,Achievement,5,6,10,100%,46,331,331,99%,350,355,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,85,4,670,1%,9,697,Achievement,0,2.075,104,6,2.892,0.303,1,3.298,Achievement,No Score,10,10,2,1.33,113,35,26.33,1.58,47,29.8,Improvement,61,No Reduction,2/5/1987,NOT A CHAIN,5/1/2004
WEST BOCA DIALYSIS CENTER,102582,-,19801 HAMPTON DR,-,BOCA RATON,FL,33434,7,1,17%,25,43,249,19%,49,257,Achievement,8,75%,25,197,264,71%,194,275,Achievement,5,6,7,97%,26,236,244,93%,241,259,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,35,3,308,1%,2,352,Achievement,7,0.443,62,1,2.26,0,0,2.945,Achievement,No Score,10,10,8,0.84,45,7,7.7,1.62,16,9.85,Improvement,77,No Reduction,5/6/1987,FRESENIUS MEDICAL CARE,5/15/1999
CENTER FOR KIDNEY DISEASE,102583,-,1190 NW 95TH ST STE 208,-,MIAMI,FL,33150,7,5,11%,77,81,714,14%,109,786,Achievement,9,76%,73,579,762,68%,558,818,Achievement,7,6,8,98%,78,693,710,97%,748,768,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,132,11,1270,1%,19,1357,Achievement,5,0.824,156,7,8.49,0.809,8,9.884,Achievement,10,10,10,0,1.34,124,36,26.93,1.13,34,30.13,Achievement,66,No Reduction,5/7/1987,DAVITA,7/13/2003
BRANDON ARTIFICIAL KIDNEY CENTER,102584,-,514 MEDICAL OAKS AVE,-,BRANDON,FL,33511,7,5,10%,48,41,414,8%,30,382,Achievement,5,66%,46,307,466,68%,287,425,Achievement,5,6,8,98%,60,417,426,92%,367,400,Achievement,10,97%,12,61,63,96%,66,69,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,90,14,759,3%,21,607,Achievement,7,0.552,123,3,5.439,0.231,1,4.324,Achievement,No Score,6,10,0,1.47,93,34,23.09,1.23,25,20.28,Achievement,59,0.50%,9/30/1987,FRESENIUS MEDICAL CARE,8/17/2015
CENTRAL FLORIDA KIDNEY CENTER - VINELAND,102585,-,4407 VINELAND RD,SUITE D2,ORLANDO,FL,32811,7,0,21%,46,87,408,22%,96,433,Achievement,0,44%,43,195,440,51%,226,440,Achievement,0,6,0,79%,46,312,396,97%,373,385,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,10,0%,74,0,674,0%,1,634,Achievement,0,No Rate,110,N/A,N/A,No Rate,,N/A,Achievement,10,9,10,0,1.54,88,31,20.19,0.64,12,18.88,Achievement,35,1.50%,8/17/1987,CENTRAL FLORIDA KIDNEY CENTERS,11/12/2015
GREATER MIAMI DIALYSIS,102586,-,160 NW 176TH ST #100,-,MIAMI,FL,33169,7,10,3%,95,28,925,2%,19,912,Achievement,10,84%,91,816,966,86%,841,979,Achievement,10,6,10,100%,93,845,849,100%,839,843,Achievement,No Score,No Rate,<11,,,85%,88,104,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,6,2%,143,35,1430,1%,14,1534,Achievement,8,0.377,152,2,5.309,1.05,5,4.76,Achievement,10,10,10,0,1.33,104,31,23.34,1.4,45,32.22,Achievement,76,No Reduction,12/16/1987,GAMBRO HEALTHCARE,10/6/2005
FORT LAUDERDALE RENAL DIALYSIS,102587,-,6264 N FEDERAL HWY,-,FORT LAUDERDALE,FL,33308,7,8,6%,13,10,112,13%,14,105,Achievement,2,57%,14,51,135,53%,68,128,Achievement,5,6,9,99%,16,110,112,99%,113,114,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,37,1,366,2%,7,322,Achievement,4,1.309,45,4,3.056,2.218,4,1.804,Improvement,No Score,9,10,9,0.68,41,7,10.21,1.23,7,5.7,Achievement,78,No Reduction,12/17/1987,AMERICAN RENAL ASSOCIATES,4/1/2012
NEW PORT RICHEY KIDNEY CENTER,102590,-,7421 RIDGE ROAD,-,PORT RICHEY,FL,34668,7,4,13%,137,145,1089,14%,155,1127,Achievement,8,74%,131,906,1228,73%,903,1231,Achievement,6,6,10,100%,136,1033,1038,99%,1061,1070,Achievement,9,94%,22,154,165,98%,145,148,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,6,2%,224,38,1859,1%,16,1699,Achievement,0,2.985,293,35,11.727,2.585,28,10.833,Achievement,10,9,10,0,1.31,304,111,84.47,0.78,53,67.67,Achievement,56,0.50%,1/15/1988,DAVITA,1/25/2008
NORTHEAST FLORIDA DIALYSIS CENTER,102591,-,2141 LOCH RAND BLVD #113,-,ORANGE PARK,FL,32073,7,2,15%,80,98,644,17%,106,614,Achievement,3,60%,76,431,723,60%,393,656,Achievement,2,6,10,100%,79,652,654,100%,612,615,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,109,7,958,1%,5,942,Achievement,5,0.923,135,7,7.582,0.476,3,6.308,Achievement,10,10,10,3,1.11,163,49,44.19,0.95,38,40,Achievement,66,No Reduction,2/9/1988,AMERICAN RENAL ASSOCIATES,9/15/2005
APOPKA ARTIFICIAL KIDNEY CENTER,102592,-,1065 W ORANGE BLOSSOM TRL,-,APOPKA,FL,32712,7,2,20%,41,59,292,26%,77,292,Improvement,7,72%,35,238,330,65%,208,322,Achievement,4,6,6,96%,38,282,295,98%,290,297,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,57,2,482,5%,22,459,Achievement,7,0.543,101,2,3.684,0.721,3,4.163,Achievement,No Score,10,10,0,1.35,74,29,21.56,1.24,21,16.93,Achievement,63,No Reduction,2/15/1988,FRESENIUS MEDICAL CARE,9/1/2004
ZEPHYRHILLS DIALYSIS,102593,-,36819 EILAND BLVD,UNIT 2,ZEPHYRHILLS,FL,33542,7,10,3%,117,22,873,3%,22,855,Achievement,7,70%,106,680,977,71%,673,946,Achievement,9,6,7,97%,125,878,907,98%,887,908,Achievement,10,96%,26,137,142,97%,101,104,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,208,7,1707,0%,6,1605,Achievement,4,1.008,260,9,8.926,0,0,8.087,Achievement,10,7,10,2,1.17,325,91,78.07,1.08,63,58.1,Achievement,70,No Reduction,3/4/1988,DAVITA,3/24/2014
